LANGUAGE=FRENCH
rouge;red
minuit m;midnight
aujourd'hui;today
ce soir;tonight
demain;tomorrow
hier;yesterday
du matin;a.m., in the morning
Quelle heure est-il ?;What time is it?
Il est neuf heures dix.;It's ten past nine.
Quand...?;When...?
tôt;early
en retard;late
bientôt;soon
plus tard;later
maintenant;now
avant;before
après;after
lundi;Monday
mardi;Tuesday
mercredi;Wednesday
jeudi;Thursday
vendredi;Friday
samedi;Saturday
dimanche;Sunday
janvier;January
février;February
mars;March
avril;April
mai;May
juin;June
juillet;July
août;August
septembre;September
octobre;October
novembre;November
décembre;December
le jour;day
le week-end;weekend
la semaine;week
les quinze jours mpl;fortnight
le mois;month
l'année f;year
la décennie;decade
tous les quinze jours;fortnightly
mensuel;monthly
annuel;yearly, annual
les lundis;on Mondays, Mondays
tous les dimanches;every Sunday
jeudi dernier;last Thursday
vendredi prochain;next Friday
le printemps;spring
l'été m;summer
l'automne m;autumn
l'hiver m;winter
en hiver;in winter
Quel temps fait-il;How's the weather, What's the weather like
Est-ce qu'il va pleuvoir;Is it going to rain
Quelle belle journée;What a lovely day
Il y a du soleil;It's sunny
Il y a du brouillard;It's foggy
Il gèle;It's freezing
Il y a du vent;It's windy
Il y a de l'orage;It's stormy
Il fait…;It is...
beau;nice, beautiful, fine
mauvais;horrible, wrong, incorrect, bad, poor, nasty, unpleasant, terrible, gloomy
chaud;hot, warm
doux;mild
pluvieux;wet, rainy
humide;humid
le soleil;sun
la pluie;rain
la neige;snow
la grêle;hail
le vent;wind
le coup de vent;gale, gust of wind
la brume;mist
le brouillard;fog
le tonnerre;thunder
l'éclair m;lightning
l'orage m;thunderstorm, storm
le nuage;cloud
la température;temperature
l'hélicoptère m;helicopter
le rotor;rotor
la pale;blade
le nez;nose
la rue;street
l'embouteillage m;traffic jam
l'heure de pointe f;rush hour
la pointe;point, tip, peak, remark
le taxi;taxi
la station de taxis;taxi rank
les indications fpl;directions
l'itinéraire m;route, itinerary
le panneau de signalisation;road sign, traffic sign, sign, highway sign, warning sign
conduire;to drive
revenir;to return
traverser;to cross
tourner;to turn
faire la navette;to commute
le billet;ticket
l'horaire m;timetable, schedule
le monospace;people carrier
le siège du passager;passenger seat
la place du conducteur;driver's seat
le siège arrière;back seat
la batterie;battery
l'accélérateur m;accelerator
le pot d'échappement;exhaust (pipe)
automatique;automatic
électrique;electric
hybride;hybrid
démarrer;to start the engine, to start, to start up, to begin, to get going, to start off, to make a start
freiner;to brake
dépasser;to overtake
garer;to park
faire marche arrière;to reverse
ralentir;to slow down
être en excès de vitesse;to speed
s'arrêter;to stop
le coffre;boot, chest, safe, trunk
la vitre;window
la roue;wheel
la portière;door
le pneu;tyre
le pare-brise;windscreen
l'essuie-glace m;windscreen wiper
le phare;headlight
le pare-chocs;bumper
le clignotant;indicator
le tableau de bord;dashboard
la jauge d'essence;fuel gauge
le levier de vitesse;gearstick
la boîte à gants;glove compartment
le frein à main;handbrake
l'appuie-tête m;headrest
l'allumage m;ignition
la ceinture de sécurité;seatbelt
le macadam;tarmac
le coin;corner
la sortie;exit
la bretelle;slip road
l'aire de service f;services
la limitation de vitesse;speed limit
la déviation;diversion
le permis de conduire;driving licence
l'assurance automobile;car insurance
le diesel;diesel
la place de parking;space, parking space
la pompe à essence;fuel pump
le carrefour;junction, crossroads
le bord du trottoir;kerb
la voie;lane, track
le passage à niveau;level crossing
l'autoroute f;motorway
le parcmètre;parking meter
le trottoir;pavement
la station-service;petrol station
le nid-de-poule;pothole
le nid;nest
la route;road
le radar;speed camera, radar
le cône de signalisation;traffic cone
les feux mpl;traffic lights, lights
l'agent de la;traffic warden
le tunnel;tunnel
le passage piéton;zebra crossing, pedestrian crossing, crossing
la panne;breakdown, failure
la collision;collision
le pneu à plat;flat tyre
tomber en panne;to break down
avoir un accident;to have an accident
avoir un pneu à plat;to have a flat tyre
changer le pneu;to change a tyre
remorquer;to tow
l'airbag m;airbag
l'antigel m;antifreeze
la borne d'urgence;emergency phone
le cric;jack
la roue de secours;spare wheel
secourir;save, help, rescue, give first aid to, give first aid
la dépanneuse;tow truck
la ligne de bus;bus route
la voie réservée aux bus;bus lane
la gare routière;bus station
la carte de bus;bus pass
le plein tarif;full fare
le demi-tarif;half fare
la réduction;concession, reduction
le bus de nuit;night bus
l'autocar touristique;tour bus
prendre le bus;to catch the bus
le bus;bus
l'Abribus m;bus shelter
l'arrêt de bus m;bus stop
le car;coach
faire du vélo;to cycle
faire une crevaison;to get a puncture
la sonnette;bell, doorbell
la pompe à vélo;pump, bicycle pump
le réflecteur;reflector
le frein;brake
la barre transversale;crossbar
la mobylette;moped
les bottes fpl;boots
les gants en cuir mpl;leather gloves
la moto;motorbike
le réseau ferroviaire;rail network
le train à grande;high-speed train
le train de passagers;passenger train
le wagon;coach, carriage
la station de métro;metro station
la carte de réduction;railcard, discount card
l'aller simple m;single ticket
l'aller-retour m;return ticket
le billet électronique;e-ticket, electronic ticket
la première classe;first-class, 
la réservation;seat reservation
changer de train;to change trains
composter un billet;to validate a ticket
le tableau des départs;departure board
la locomotive;locomotive
le porte-bagages;luggage rack
le métro;metro
le portillon;ticket barrier, barrier, gate, door
le guichet;ticket machine, ticket office
le train;train
le tramway;tram
la gare;train station, station
le terminal;terminal
le contrôle des passeports;passport control
la douane;customs
la porte;gate, door
le personnel navigant;cabin crew
le compartiment à bagages;overhead locker
la soute;hold
le moteur;engine, motor
les bagages;hold luggage, luggage, baggage
les bagages en cabine;cabin baggage
l'excédent de bagages;excess baggage
le bagage à main;hand luggage
le décalage horaire;jetlag
le décalage; difference, gap, interval, shift, movement, discrepancy
l'avion m;aeroplane, plane, airplane
l'aéroport m;airport
la carte;boarding card, menu, map, card
la cabine;cabin
la boutique hors taxes;duty-free shop
le chariot à bagages;luggage trolley
le passeport;passport
la piste;runway, piste, running track
la valise;suitcase
la traversée en ferry;ferry crossing
la cheminée;funnel, chimney, fireplace
le port;port, harbour
le canal;canal
le canot de sauvetage;lifeboat
l'équipage m;crew
naviguer;to sail, to navigate
mettre à quai;to dock
l'ancre f;anchor
le ferry;ferry
le voilier;sailing boat
le yacht;yacht
l'immeuble m;block of flats, apartment block, building
le toit;roof
la maison mitoyenne;terraced house
la maison de ville;townhouse
la villa;villa
le bâtiment;building
la banlieue;suburb
le quartier;district, neighbourhood, quarter, segment
le loyer;rent
le contrat de location;rental agreement
louer;to rent
posséder;to own, to possess
déménager;to move house, to move
la maison individuelle;detached house
la maison jumelée;semi-detached house
jumeler;to twin
le studio;studio flat, studio
la cave;cellar
le grenier;attic
le plafond;ceiling
le mur;wall
le sol;floor
le balcon;balcony
l'adaptateur m;adaptor
la climatisation;air conditioning
le chauffage central;central heating
l'antenne parabolique;satellite dish
la porte de derrière;back door
réparer;to fix, to repair
décorer;to decorate
rénover;to renovate
la chaudière;boiler
le ventilateur de plafond;ceiling fan
la multiprise;extension cable
la boîte à fusibles;fusebox
le radiateur;heater, radiator
l'ampoule f;light bulb, blister
le détecteur de fumée;smoke alarm, smoke detector
le thermostat;thermostat
l'antenne;aerial, antenna
la gouttière;gutter
la fenêtre;window
la porte d'entrée;front door
le garage;garage
le judas;peephole
le paillasson;doormat
la boîte aux lettres;letterbox
le couloir;corridor, aisle, lane
l'escalier m;staircase, stairs
le palier;landing
s'essuyer les pieds;to wipe one's feet
le parquet;floorboards, parquet
le canapé-lit;sofa bed
la lampe de table;table lamp
s'asseoir;to sit down
regarder la télé;to watch TV
écouter de la musique;to listen to music
la bibliothèque;bookcase, library
la radio;radio, x-ray, xray
la télécommande;remote control
le buffet;sideboard, buffet
la télé;TV
le canapé;sofa, couch
l'image f;picture, image, painting, photo, drawing
l'ornement m;ornament
l'étagère f;shelves
le coussin;cushion
la cuisinière;(electric) cooker, chef
la gazinière;gas cooker
la bouilloire;kettle
le grille-pain;toaster
cuisiner;to cook
frire;to fry
faire sauter;to stir-fry
bouillir;to boil
rôtir;to roast
cuire (au four);to bake
faire la vaisselle;to wash up, to do the dishes
ranger les courses;to put away the groceries
la plaque à pâtisserie;baking tray
la plaque; plate
la planche à découper;chopping board
la passoire;colander, strainer
le tire-bouchon;corkscrew
le robot de cuisine;food processor
la poêle;frying pan
la râpe;grater
le verre mesureur;measuring jug, measuring cup
le rouleau à pâtisserie;rolling pin
la casserole;saucepan
le tamis;sieve
la spatule;spatula
l'ouvre-boîtes m;tin opener
le fouet;whisk, whip
le wok;wok
la cuillère en bois;wooden spoon
le sac poubelle;bin bag
le film alimentaire;clingfilm
l'essuie-tout m;kitchen roll
le four;oven
la plaque chauffante;hob
chauffante;heating
le four à micro-ondes;microwave
le spot;spotlight
le réfrigérateur-congélateur;fridge-freezer
le placard;cupboard
l'égouttoir m;draining board
le tiroir;drawer
les carreaux mpl;tiles
la table à manger;dining table, dinner table
le dessous de verre;coaster
la vaiselle;crockery
les couverts mpl;cutlery
la verrerie;glassware
mettre la table;to set the table
débarrasser la table;to clear the table
le moulin à poivre;pepper mill
le bol;bowl
la tasse;cup
la soucoupe;saucer
le couteau;knife
la fourchette;fork
l'assiette f;plate
la cuillère;spoon
la cuillère à café;teaspoon, small amount of something
le verre;tumbler, glass
le lit d'une personne;single bed
le lit deux personnes;double bed
la chambre; bedroom
la chambre d'ami;spare room, guest room
la salle de bain;en-suite bathroom, bathroom
la chambre d'enfant;nursery
la literie;bedding
dormir;to sleep
faire le lit;to make the bed
changer les draps;to change the sheets
la couverture;blanket, cover
les lits superposés;bunk beds
le radio-réveil;clock radio
le portemanteau;coat hanger
la coiffeuse;dressing table
le sèche-cheveux;hairdryer
le panier à linge;laundry basket
l'édredon m;quilt
les draps mpl;sheets
la commode;chest of drawers
le lit;bed
l'armoire f;wardrobe
la couette;duvet
les rideaux mpl;curtains
le fauteuil;armchair
la lampe de chevet;bedside lamp
le tapis;rug, carpet, mat
l'oreiller m;pillow
le matelas;mattress
la table de chevet;bedside table
le rideau de douche;shower curtain
la chasse d'eau;flush
l'égout m;drain
se doucher;to shower
prendre un bain;to have a bath
se laver les mains;to wash one's hands
se brosser les dents;to brush one's teeth
aller aux toilettes;to go to the toilet
le tapis de bain;bath mat
la serviette de bain;bath towel
le gant de toilette;face cloth
l'essuie-mains m;hand towel
l'éponge f;sponge
la brosse à toilettes;toilet brush
le papier toilette;toilet roll, toilet paper
le miroir;mirror
l'évier m;sink
la douche;shower
les toilettes fpl;toilet, toilets, bathroom
le porte-serviettes;towel rail
le robinet;tap
le cabinet;cabinet
le bidet;bidet
la baignoire;bath
l'arbre m;tree
la terre;soil, earth, land, ground
l'herbe f;grass, weed
la plante;plant
la mauvaise herbe;weed
la plate-bande;flowerbed
le compost;compost
désherber;to weed
arroser;to water
planter;to plant
la terrasse en bois;decking
la fourche;garden fork, fork
le tuyau;garden hose, exhaust pipe, pipe
les gants de jardinage;gardening gloves
la cabane;garden shed, shed
la serre;greenhouse
la binette;hoe
la tondeuse;lawnmower
la pelle;spade, dustpan, shovel, spatula
l'arrosoir m;watering can
le désherbant;weedkiller
la brouette;wheelbarrow
la pelouse;lawn
l'arbuste m;shrub
la palissade;fence
le chemin;path
les fleurs fpl;flowers
le patio;patio
le pot de fleur;flowerpot
la buanderie;utility room
les tâches;chores
la bassine;basin
l'eau de javel f;bleach
le désinfectant;disinfectant
la pastille;dishwasher tablet, lozenge
la lessive;laundry detergent
la poubelle de recyclage;recycling bin
le liquide;washing-up liquid, cash, liquid
balayer le sol;to sweep the floor
faire la lessive;to do the laundry
passer l'aspirateur;to hoover
ranger;to tidy up, to put away
nettoyer;to clean
sortir les poubelles;to take out the bin
la brosse;brush
le seau;bucket
l'étendoir m;clothes horse, drying rack, airer
les pinces à linge fpl;clothes pegs
le lave-vaisselle;dishwasher
la poubelle;dustbin
le fer à repasser;iron
la planche à repasser;ironing board
la serpillière;mop
les gants en caoutchouc;rubber gloves
le torchon;tea towel, cloth
le sèche-linge;tumble drier
l'aspirateur m;vacuum cleaner
la corde à linge;washing line
la machine à laver;washing machine
le pain;bread, loaf
l'huile végétale;vegetable oil
le magasin;shop
le supermarché;supermarket
le centre commercial;shopping centre
le commerce;convenience store, business
la grande enseigne;high-street shop
le marché;market
la monnaie;change
sans contact;contactless
le code personnel;PIN
le remboursement;refund
le coupon;voucher, coupon
les provisions;groceries
acheter;to buy
payer;to pay
faire du shopping;to shop (online), to shop
faire des courses;go shopping
le lecteur de cartes;card reader
le sac en plastique;plastic bag
le reçu;receipt
le sac réutilisable;reusable shopping bag, reusable bag
l'allée f;aisle
le plat cuisiné;ready meal
la bouteille;bottle
la boîte;box
la briq de lait;carton of milk
le bocal;jar
le paquet;packet
la conserve;tin
en boîte;tinned, canned
surgelé;frozen
maigre;low-fat
basses calories;low-calorie
la balance;scales, balance
le chariot;trolley, cart
les biscuits mpl;biscuits
les fines herbes fpl;herbs
le miel;honey
le sucre glace;icing sugar
le café instantané;instant coffee
le ketchup;ketchup
la marmelade;marmalade
la mayonnaise;mayonnaise
l'huile d'olive f;olive oil
le poivre;pepper
le sel;salt
les épices fpl;spices
le sucre;sugar
les sachets de thé;teabags
l'huile végétale f;vegetable oil
le vinaigre;vinegar
le chocolat;chocolate
les chips fpl;crisps
les noix;nuts
le popcorn;popcorn
les bonbons mpl;sweets
la bière;beer
la boisson gazeuse;fizzy drink
le jus de fruit;fruit juice
l'eau minérale f;mineral water
les spiritueux mpl;spirits
le vin;wine
la place du marché;marketplace
le marché aux puces;flea market
le marché couvert;indoor market
le marché fermier;farmer's market
l'étal m;stall
les produits mpl;produce
local;local
bio;organic
saisonnier;seasonal
fait maison;home-made
l'épicerie f;grocer's
le jus;juice
la feuille;leaf
la pelure;peel
le zeste;rind, zest
la graine;seed
la peau;skin
le noyau;stone
frais;fresh, cool
pourri;rotten
mûr;ripe
pas mûr;unripe
sans pépins;seedless
couper;to chop, to cut
couper en dés;to dice
râper;to grate
faire du jus de;to juice
peler;to peel
la pomme;apple
l'abricot m;apricot
la banane;banana
la mûre;blackberry
le cassis;blackcurrant
la myrtille;blueberry
la cerise;cherry
la groseille;gooseberry, redcurrant
le raisin;grape, raisin
le pamplemousse;grapefruit
le kiwi;kiwi fruit, kiwi
le citron;lemon
la mangue;mango
le melon;melon
l'orange f;orange
le fruit de la passion;passion fruit
la pêche;peach, fishing
la poire;pear
l'ananas m;pineapple
la prune;plum
la framboise;raspberry
la fraise;strawberry
la pastèque;watermelon
l'artichaut m;artichoke
l'asperge f;asparagus
l'aubergine f;aubergine
la betterave;beetroot
les brocolis mpl;broccoli, broc
le chou de Bruxelles;Brussels sprout
le chou;cabbage
la carotte;carrot
le chou-fleur;cauliflower
le céleri;celery
le piment;chilli
la courgette;courgette
le concombre;cucumber
l'ail m;garlic
les haricots verts mpl;green beans
le poireau;leek
la laitue;lettuce
l'oignon m;onion
les petits pois mpl;peas
la pomme de terre;potato
le poivron rouge;red pepper
les épinards mpl;spinach
la tomate;tomato
l'arête f;fishbone, edge, bone
le filet;fillet, net
les écailles fpl;scales
les crustacés mpl;shellfish, crustaceans
la coquille;shell, scallop
d'eau douce;freshwater
de mer;saltwater
d'élevage;farmed
sauvage;wild, untamed, savage
salé;salted
fumé;smoked
découpé en filets;filleted
le cabillaud;cod
l'aiglefin m;haddock
le hareng;herring
le maquereau;mackerel
le saumon;salmon
la sardine;sardine
le bar;sea bass, bar
la raie;skate
la truite;trout
le thon;tuna
la palourde;clam
l'écrevisse f;crayfish
le homard;lobster
la moule;mussel
la pieuvre;octopus
l'huître f;oyster
la crevette;prawn, shrimp
l'oursin m;sea urchin
le calamar;squid
la viande;meat
la viande rouge;red meat
la viande blanche;white meat
le bœuf;beef
le porc;pork
le gibier;game, prey
la venaison;venison
la volaille;poultry
la dinde;turkey
cuit;cooked
cru;raw
élevé en plein air;free-range
le bacon;bacon
le steak haché;burger
le blanc de poulet;chicken breast
la côtelette;chop
le jambon;ham
le rôti;joint
la viande hachée;mince
les saucisses fpl;sausages
le steak;steak
une tranche;slice
la croûte;crust
la pâte;dough, paste
la farine;flour
faire cuire au four;to bake
le croissant aux amandes;almond croissant
la brioche;brioche
le croissant;croissant
le feuilleté;Danish pastry
le beignet;doughnut
le macaron;macaroon
le pain au chocolat;pain au chocolat, pac
les crêpes mpl;pancakes
la gaufre;waffle
le pain complet;wholemeal bread
le fromage;cheese
le bleu;blue cheese, blue, bruise
le fromage à tartiner;cream cheese
le brie;brie
le cheddar;cheddar
le fromage blanc;cottage cheese, white cheese
le fromage de chèvre;goat's cheese
la mozzarella;mozzarella
le parmesan;parmesan
le stilton;Stilton
le blanc d'œuf;egg white
le jaune d'œuf;egg yolk, yolk
le lait entier;whole milk
le lait de soja;soymilk, soya milk
la crème aigre;sour cream
de poules élevées en;free-range
pasteurisé;pasteurized, pasteurised
non pasteurisé;unpasteurized, unpasteurised
le beurre;butter
l'œuf m;egg
la margarine;margarine
le lait;milk
le yaourt;yoghurt
l'antihistaminique m;antihistamine
le décongestif;decongestant, decongestive
l'analgésique m;painkiller
le savon liquide;handwash
le parfum;fragrance, perfume
le rhume;cold
le rhume des foins;hay fever
le mal de gorge;sore throat
la crème;antiseptic cream, cream
la capsule;capsule
le préservatif;condom
le sirop pour la toux;cough mixture, cough syrup
les gouttes fpl;drops
goutter;to drip
le répulsif à insectes;insect repellent
l'antitranspirant m;antiperspirant
l'après-shampooing;conditioner
le rasoir;razor
la serviette;sanitary towel, napkin, serviette
le shampooing;shampoo
les coliques fpl;colic
le sac hygiénique;nappy sack, sanitary bag
l'érythème fessier m;nappy rash
allaiter;to breast-feed
le bavoir;bib
les moufles fpl;mittens
le body;vest
la mousse à raser;shaving foam
le gel douche;shower gel
le savon;soap
le tampon;tampon
la brosse à dents;toothbrush
le dentifrice;toothpaste
le fard à joues;blusher
le peigne;comb
l'eye-liner m;eyeliner
le fard à paupières;eyeshadow
la brosse à cheveux;hairbrush
la laque;hairspray, lake
le baume à lèvres;lip balm
le rouge à lèvres;lipstick
le mascara;mascara
le vernis à ongles;nail varnish
la poudre;powder
les aliments pour bébés;baby food
le biberon;baby's bottle
le sac à langer;changing bag
langer;change
le coton-tige;cotton bud
le coton hydrophile;cotton wool
le lait maternisé;formula milk
la couche;nappy
la biscotte;rusk
le talc;talcum powder, talc
les lingettes;wet wipes
le siège bébé;baby seat
la tétine;dummy
la chaise haute;highchair, high chair
le mobile;mobile
le couffin;Moses basket
le landau;pram
la poussette;pushchair
le journal grand;broadsheet
le tabloïd;tabloid
quotidien;daily
hebdomadaire;weekly
le livre;book
le cigare;cigar
la cigarette;cigarette
la bande dessinée;comic book, comic
la confiserie;confectionery
la carte de vœux;greetings card
le magazine;magazine
le journal;newspaper
le carnet;notebook, book of tickets
le livre de casse-tête;puzzle book
la carte à gratter;scratch card, scratchcard
la marque;brand
le comptoir;counter
le rayon;department, ray, radius
l'étage m;floor
l'escalator m;escalator
l'ascenseur m;lift
les soldes fpl;sale
les vêtements pour femmes;womenswear
les vêtements pour hommes;menswear
les vêtements de sport;sportswear
les maillots de bain;swimwear
les accessoires;accessories
les produits de beauté;cosmetics, beauty products
la mode;fashion
les chaussures fpl;footwear, shoes
les meubles mpl;furniture
les ustensiles de cuisine;kitchenware, kitchen utensils
la maroquinerie;leather goods
l'éclairage m;lighting, flash
la lingerie;lingerie
les jouets mpl;toys
les sous-vêtements;underwear
la cabine d'essayage;fitting room
le portefeuille;wallet
le porte-monnaie;purse, wallet
les bijoux mpl;jewellery
le parapluie;umbrella
la taille;size, height
la pointure;size (shoe), size
décontracté;casual, relaxed
élégant;smart, elegant
le coton;cotton
le cuir;leather
la soie;silk
grande taille;plus-size
essayer;to try on, to try
être à la bonne taille;to fit
le chemisier;blouse
le caleçon;boxer shorts
le soutien-gorge;bra
le gilet;cardigan, gilet
le manteau;coat
la robe;dress
le jean;jeans, denim
le pantalon de jogging;jogging bottoms
le pull;jumper
les leggings mpl;leggings
le slip;pants, underpants
le pyjama;pyjamas
la chemise;shirt, folder
le short;shorts
la jupe;skirt
les chaussettes fpl;socks
le sweat;sweatshirt
le costume;suit
la cravate;tie
les collants mpl;tights
le pantalon;trousers
le t-shirt;T-shirt
l'imperméable m;waterproof jacket
la ceinture;belt
le bracelet;bracelet
les boucles d'oreille;earrings
les gants mpl;gloves
le sac à main;handbag
le collier;necklace, collar
le foulard;scarf
les talons hauts mpl;high heels
les sandales fpl;sandals
les pantoufles fpl;slippers
les baskets fpl;trainers
le bricolage;home improvements, DIY
l'outil m;tool
l'électricité f;electricity
la peinture;painting, paint
la plomberie;plumbing
le marteau;hammer
les clous mpl;nails
le pinceau;paintbrush
la scie;saw
le tournevis;screwdriver
les vis fpl;screws
la clé;spanner, key
le niveau à bulle;spirit level
l'escabeau m;stepladder
le papier peint;wallpaper
la clé à molette;wrench, spanner
le magasin caritatif;charity shop
l'agence immobilière;estate agency
l'opticien m;optician's, optician
la tasse;cup
tartiner;to spread
prendre le petit déjeuner;to have breakfast
sauter le petit déjeuner;to skip breakfast
le café;coffee
le café au lait;coffee with milk, milky coffee
le chocolat chaud;hot chocolate
le jus d'orange;orange juice
le thé;tea
la baguette;baguette
les petits pains mpl;bread rolls, rolls
les céréales fpl;cereal
la pâte à tartiner;chocolate spread, spread
la confiture;jam
se réveiller;to wake up
s'habiller;to get dressed
arriver;to arrive
partir;to leave
travailler;to work
retrouver des amis;to meet friends
rentrer à la maison;to go home
aller se coucher;to go to bed
la nourriture;food
la boisson;drink
le déjeuner;lunch
le dîner;dinner
les plats mpl;courses, dishes
la recette;recipe
déjeuner;to have lunch, to lunch
dîner;to have dinner, to dine
aller au restaurant;to eat out, go to a restaurant
la soupe;soup
les légumes cuits;cooked vegetables
le couscous;couscous
la salade verte;green salad
la salade composée;mixed salad
le muesli;muesli
les nouilles fpl;noodles
les olives mpl;olives
les pâtes fpl;pasta
les pommes de terre;potatoes
les crudités fpl;raw vegetables
le riz;rice
les moules;mussels
la ratatouille;ratatouille
la tarte aux pommes;apple tart
le gâteau au chocolat;chocolate cake
la glace;ice cream, ice
la tarte au citron;lemon tart
la meringue;meringue
les profiteroles fpl;profiteroles
le sorbet;sorbet
le menu;set menu, menu
le pourboire;tip
végétarien;vegetarian
végétalien;vegan
sans gluten;gluten-free
sans produits laitiers;dairy-free
commander;to order, to command
demander l'addition;to ask for the bill
l'addition f;bill, accumulation, addition, sum
être servi;to be served
la note;bill
la chaise;chair
le couteau à fromage;cheese knife
la carafe d'eau;jug of water
du sel et du poivre;salt and pepper
le couteau à viande;steak knife, meat knife
la table;table
la nappe;tablecloth
les cure-dents mpl;toothpicks
le verre à vin;wine glass
le stand de nourriture;food stall
la cuisine de rue;street food
un plat à emporter;a takeaway, takeaway
les frais de livraison;delivery charge
passer commande par téléphone;to phone in an order
passer commande;to place an order
récupérer des plats;to collect an order
le hamburger;burger
les frites fpl;fries, chips
le hot dog;hot dog
la brochette;kebab, skewer
l'omelette f;omelette
la pizza;pizza
le sandwich;sandwich, filled baguette
le sushi;sushi
le wrap;wrap
les réseaux sociaux;social media
l'e-mail m;email
l'adresse électronique;email address, email
l'internet m;internet
le wifi;WiFi
le site web;website
le lien;link
l'icône f;icon
le tapis de souris;mouse mat
le clavier;keyboard
l'appli f;app
les données mobiles;data
la ligne fixe;landline
le message vocal;voice mail
l'écran tactile m;touchscreen
l'écran m;screen, monitor, block, guard, shield
le bouton;button
le câble;cable
passer un appel;to make a phone call, to make a call
poster (en ligne);to post (online)
charger son portable;to charge your phone
cliquer sur;to click on
le chargeur;charger
l'ordinateur m;computer
la carte SIM;SIM card
le smartphone;smartphone
le routeur sans fil;wireless router
l'école maternelle f;nursery school, nursery
l'école primaire f;primary school
le collège;middle school
le lycée;high school
l'enseignement supérieur;higher education
l'université f;university
la salle de classe;classroom
l'emploi du temps m;timetable
la leçon;lesson
le cours;lecture
le didacticiel;tutorial
les devoirs mpl;homework
l'examen m;exam
le diplôme;degree, certificate, diploma
la cantine;canteen
la carte d'étudiant;student card
apprendre;to learn
enseigner;to teach
réviser;to revise
passer un examen;to sit an exam
obtenir son diplôme;to graduate, obtain a diploma
étudier;to study
le personnel;staff, personnel
la comptabilité;accounts
les chiffres mpl;figures, statistics
la feuille de calcul;spreadsheet
la présentation;presentation
la gomme;eraser
le papier;paper
le stylo;pen
la trousse;pencil case
la règle;ruler
le cartable;schoolbag
le taille-crayon;sharpener
le manuel;textbook, manual
le tableau blanc;whiteboard
la cafétéria;cafeteria
le campus;campus
l'amphithéâtre m;lecture hall, amphitheatre
le rapport;report
la réunion;meeting
la conférence téléphonique;conference call
la visioconférence;video conference
