LANGUAGE=ESPERANTO
abako;abacus
eldevigi;to extort, wrest, wring
eldevigo;exaction, extortion
eldonejo;publisher, publishing house
eldoni;to issue, publish
eldonisto;publisher
eldono;edition
elefanto;elephant
eleganta;elegant
elegio;elegy
elekti;to choose, elect, pick out
elekto;choice, election
elektra;electric
elektro;electricity
elektronika;electronic
elektroniko;electronics
elektrono;electron
elementa;elemental, elementary
elementa instruado;elementary education
elementa lernejo;primary school
elemento;element
elfari;to accomplish, achieve, finish
elfini;to finish
elfo;elf
elfosi;to dig up, excavate, grub
elgutigilo;colander, strainer
eligi;to draw out, drive out, express, utter, give utterance to, pull out
eligo;output
elimini;to eliminate
eliminiĝi;to drop out
elirejo;exit, way out
eliri;to exit, go out
elirigi;to deprive, dismiss
elizii;to elide
elizio;elision
elĵetaĵo;refuse, rubbish, waste
elkovi;to hatch out
elkrani;tap
ellabori;to finish, work out
ellacigi;to fag out, fatigue, jade, overdrive, override, tire out
ellasi;to release
ellerni;to master
ellitiĝi;to get up
elmergiĝi;to emerge
elmigri;to emigrate
elokventa;eloquent
elpagi;to pay off, redeem
elpaki;to unpack
elparoli;to pronounce
elpeli;to drive out
elpensi;to invent
elpetigi;to implore, invoke
elporti;to abide, bear, carry out, endure, put up with, suffer
elpremi;to squeeze out
elpremo;exaction, extortion
elprovita;approved, tried, well-tried
elrabi;to harry, ravage
elradikigi;to eradicate
elregistri sin;log out
elrevigi;to disappoint
elreviĝi;to be disappointed
elseligi;to cast, shed
elsendi;to broadcast
elspezi;to pay out, spend
elspezo;expenses
elspiri;to exhale
elspirtesto;breath test
elŝalti;turn off
elŝipiĝi;to disembark
elŝovi;thrust out
elteni;to abide, endure
elterigi;to dig, dig up, lift, pull up
eltiro;pull
eltrovaĵo;invention
eltrovi;to invent
eltrovo;invention
eltrudi;to extort
eluzi;to use up, wear out
eluziĝi;to wear away, wear off, wear out
eluzita;worn
elvagoniĝi;to get out
elveni;come out
elverŝi;pour out
elvido;view
elvoki;to evoke
emajlo;enamel
embarasa;straitened
embarasi;to embarrass
embarasita;in distress
embaraso;abashment, embarrassment, perplexity
emblemo;emblem
embuski;to ambush
embusko;ambush
emerita;retired
emeritiĝi;to retire
emerito;retired person
emfaza;emphatic
emfazi;to accent, accentuate, emphasize
emfazo;accent, emphasis
emi;to have a tendency
eminenta;eminent
emo;tendency
emocia;touching
emocii;move, stir
emociita;seized with emotion
emocio;emotion
en;a, in, inside, into, on, per, within
en ĉeesto de;in the presence of
en ĉiu okazo;in any event
en kio;wherein
en kiu;in which, wherein
en la okazo se;in case
en la tuta;all over the, throughout the
en stoko;stocked
en tago;a day
en tio;therein
enadaptiĝi ĝuste;fit together
enamiĝi al, enamiĝi en;fall in love with
enarkivigi, enarĥivigi;to archive
enaŭtiĝi;to get in, get into a car
enbalzamigi;to embalm
enboteligi;bottle
enciklopedio;encyclopaedia, encyclopedia
enĉifri;to encipher
endanĝerigi;to endanger
endivio;endive
endormiĝi;go to sleep
enen;inwards
energia;energetic
energiemulo;hustler
energio;energy
enestanto;occupant
enfermi;to put away, stow
enfluejo;mouth
enfosi;to bury
engluti;to engulf, swallow up
engraŭlo;anchovy
enhavi;comprise, contain, include
enhavo;contents
enigi;to enter, insert, put in
enigmeco;enigmatic character, mysteriousness
enigmo;enigma, puzzle, riddle
enigo;input
eniĝi;to get in
enirbileto;admission ticket
enirejo;entrance, portal
eniri;go in, enter, perform
eniri ĉe;call at ...'s house, call on
eniro;access
enkadrigi;to frame
enkarnigi;to embody
enkarnigo;embodiment
enkarniĝo;incarnation
enkasigisto;bank messenger
enkaviĝinta;hollow
enketo;inquiry, investigation
enklasigi;to classify
enkodigi;to encode
enkonduko;introduction, preface
enkorpigi;to embody
enkorpigo;embodiment
enladigi;to can
enlanda;aboriginal, domestic
enlitigi;to put to bed
enlitiĝi;go to bed
enlitiĝtempo;bedtime
enloĝanto;inhabitant
enloĝigo;accommodation
enmanigi;to hand, hand over
enmeti;to insert, put in, put away, stow
enmigri;to immigrate
enmiksiĝema;meddlesome
enmiksiĝi en;interfere with
enoficigi;to appoint
enoficigo;appointment, appointment to office
enoficiĝo;accession
enorma;enormous
enpaki;to pack, package, wrap up
enpoŝtigi;post
enradikiĝi;root, strike
enregistri sin;log in
enregistrigi;to register
enskribi;to enter
enskribigi;to register
enskribigo;entry
ensorbado;assimilation, digestion
ensorĉi;to bewitch, delude
ensorĉiga;enchanting
ensorĉo;delusion, spell
enspaci;to fill, take up, occupy
enspezi;take in
enspezo;income
enspiri;to inhale
enŝalti;turn on
enŝipe;aboard, on board
enŝipiĝi;to embark
enŝipiĝinta;aboard
enŝlosi;lock up, shut up
enŝovi;to insert
enŝprucigilo;syringe
entenaĵo;contents
enteriga entreprenisto;mortician, undertaker
enteriga entrepreno;undertaker's business
enterigi;to bury
enterigo;burial, funeral, interment
entiri;to draw, pull
entjera;integer
entombigi;to bury, entomb, inter
entombigo;burial, funeral, interment
entordita hernio;strangulated hernia
entreprena aktivado;trade and industry
entreprenaro;trade and industry
entreprenema;enterprising
entrepreni;to undertake
entrepreno;enterprise
entrudiĝi;to intrude
entute;altogether, as a whole, on the whole
entuziasmo;enthusiasm
enua;boring, weary
enui;to be bored, be tired of something
enuiga;boring, stodgy
enuigi;bore
enuiĝi;to get bored
enurezo;bed-wetting, enuresis
enveni;come into, enter
enverŝi;pour in
envia;envious
enviciĝi;to fall in, fall into line, form up, line up
enviema;envious, jealous
envii;to envy
envio;envy
envolvi;to envelop
eono;aeon
epifito;epiphyte
epilepsio;epilepsy
episkopa;episcopal
episkopa moŝto;monsignor
episkopo;bishop
epistolo;epistle, letter
epizodo;episode
epoko;age, epoch, era
epoleto;epaulet
epopea;epic
erao;era
erara;erroneous, mistaken, wrong
erari;to err, make a mistake
erariga;deceptive, delusive, fallacious
erarkredi;to fancy
eraro;aberration, error, mistake
erarpaŝo;aberration
erarserĉilo;debugger
erco;ore
erikejo;heath
eriko;heather
erizipelo;erysipelas
ermito;hermit
ero;element, fragment, item, particle
erodi;to wear down, wear off, wear out
erotika;erotic
erpi;to harrow
escepta;exceptional
escepte de;with the exception of
escepti;to except, exclude
escepto;exception
esenca;essential
esenco;essence, gist
eskalatoro;escalator
eskali;to scale
eskalo;ladder
eskapi;to escape, flee
eskapo;escape
eskorti;to escort
eskorto;escort
eskudo;escudo
espereble;hopefully
esperi;hope
espero;hope
esplorado;exploration, investigation, research
esplordemandi;to interrogate, question
esplori;to examine, explore, investigate, research
esploro;exploration, investigation, research
esprimi;to express
esprimi sin;express oneself
esprimo;expression
establi;to erect, establish
establo;establishment
estas;there is, there are
esti;to be
esti adepto de;adhere to
esti ...anta;busy oneself
esti bonhava;be in easy circumstances, be well off, be well-to-do
esti deponita;be deposited, be in the keeping, rest
esti ebla;be possible
esti konforma;be correct, be right
esti konforma al;answer, answer to, come up to
esti konforma laŭ;correspond to
esti konsiderata;be considered, count
esti laŭ;correspond to
esti laŭmezura;fit
esti ... laŭtuŝe;feel ...
esti longa;measure
esti malfermetita;be ajar
esti pli forta ol;be able to match with, be stronger than
esti preskaŭ;abut on to, abut to
esti sklaviĝinta;be addicted
esti traktata kiel;be treated as
esti unu el;belong to, be one of
esti;be
estigi;to develop
estiĝi;to arise
estimata;dear
estimi;to esteem, think well of
estiminda;respectable
estimo;esteem, regard
estingi;to extinguish, put out
estinta;former
estinteco;past
estinto;past
estonta;future
estonteco;future
estonto;future
estrado;platform, stage
estraro;board of directors
estreco;authority
estrema;bossy, masterful
estri;govern, head up, restrain
estrino;mistress
estro;boss, chief, leader
estulo;creature
eŝafodo;scaffold
eta;tiny
etaĝo;floor, storey, story
etapo;stage
etburĝa;lower middleclass
etendi;to extend, strech out
etendi la manojn al;reach for
etendiĝi;to run
etendiĝi antaŭen;reach forward
eterna;eternal
eterneco;eternity
eterno;eternity
etero;ether
etika;ethical
etikedo;label
etiketo;etiquette
etiko;ethic, ethics
etoso;atmosphere, ethos, mood
etosplena;atmospheric
etspirita;petty, small-minded
etullernejo;nursery school
eŭnuko;eunuch
eŭro;euro
evakui;to evacuate
evangelia;evangelic
evangelio;gospel
evento;event
eventuala;contingent, eventual
eventualo;contingency, eventuality
evidenta;evident, obvious
eviti;to avoid, evade
evoluado;development, evolution
evolui;to develop, evolve
evolulando;developing country
evoluo;development, evolution
fabelo;fairy tale
fablo;fable
fabo;bean
fabrikado;making, manifacture
fabrikejo;factory
fabriki;to fabricate, manufacture
fabrikista prezo;recommended price
fabriko;factory
facila;easy, facile
facilanima;flighty, impulsive
facile;easily
faciligaĵoj;accommodation
faciligi;to facilitate
facilkompreneble;for obvious reasons, understandably
facilrompa;fragile
fadeno;thread
fago;beech
fajenco;crockery, earthenware, pottery
fajfi;to whistle
fajfilo;whistle
fajli;to file
fajlilo;file
fajraĵo;fireworks
fajrejo;hearth
fajrero;spark
fajrilo;lighter
fajro;fire
fajroŝirmilo;fender
fakestro;head of a department
fakista unuiĝo;trade-union
fako;branch, compartment, department, pigeonhole, section, speciality
fakto;fact
fakturi;to invoice
fakturo;bill, invoice
fakulo;expert, specialist
fakultato;faculty
falakvo;waterfall
falĉi;to cut, mow
falĉileto;sickle
falĉilo;scythe
faldi;fold
faldo;fold
faleti;to stumble
fali;to drop, fall
fali dorsen;fall backwards
faligi;to drop, overthrow
faligo;overthrow, subversion
falko;falcon
falo;fall
falsa;false
falsaĵo;counterfeit
falsi;to falsify
falsigi;to falsify
faluso;phallus
fama;famous
fameco;fame, renown
familia;domestic
familia ĉambro;living room
familia nomo;surname
familio;family
famkonata;famous
famo;fame, hearsay, renown, repute, rumor, rumour
famulo;celebrity
fanatika;fanatical
fandi;to melt
fandiĝi;to melt
fanfaro;fanfare, flourish
fanfaroni;boast, brag
fantazia;fantastic, of fantasy
fantazio;fantasy
fantomi;to haunt
fantomo;ghost, phantom
farado;making, manufacture
farbi;to paint
farbisto;painter
farbo;dye, paint
farĉi;to stuff
farĉo;stuffing
farendaĵo;a thing that needs to be done
fari;to act, do, make, perform
fari bieron;brew
fari servon;accomodate
fariĝi;to become, come about, grow, happen
fariĝi ekskutima;fall into abeyance
fariĝo;event
farmaciisto;chemist, dispensing chemist, pharmaceutical chemist, pharmacist
farmacio;pharmacy
farmi;to farm, lease
farmigi;to farm out
farmisto;farmer
farmo;farm
faro;action
farti;to fare
faruno;flour, meal
fasado;facade, façade
fascina;absorbing, fascinating
fascini;to fascinate
fasko;bunch, bundle, cluster, sheaf
fasoni;to cut
fasti;to fast
fatalo;fate, ill fate
faŭki;to gape, yawn
faŭko;jaws, maw
favora;advantageous, favourable
favoranto;patron
favorata;favorite, favourite
favoratino;favourite
favori;to favor, favour
favoro;favor, favour
fazano;pheasant
fazeolo;haricot
fazo;phase, stage
fea;fairy
febra;feverish
febri;to have a fever
febro;fever
federacio;federation
federala;federal
feino;fairy
fekaĵo;dung, excrement
fekaĵputo;cesspit, cesspool
feki;to defecate 
feko;dung, excrement
fekunda;fertile
feliĉa;fortunate, happy
feliĉeco;happiness
feliĉo;happiness
felo;fur, hide, skin
felto;felt
femalo;female
femuro;thigh
fendaĵo;crack, crevice
fendi;to split
fendi haron;split hairs
fendiĝi;to burst, split
fendiĝinta;cracked
fendo;crack, crevice
fenestra vitro;window-glass
fenestro;window
fenestrokadro;frame, window-frame
fenestrokovrilo;blind
fenestrumo;shutter
fenikso;phoenix
fenkolo;fennel
fenomeno;phenomenon
feo;fairy
fera;iron
ferdeko;deck
ferdrato;wire, iron wire
ferio;holiday
fermenti;to ferment
fermentilo;leaven, yeast
fermi;to close, shut
fermiĝi;to close, be closed
fermita;closed, shut
fero;iron
feroca;fierce
ferumi;to shoe
fervojo;railroad, railway
fervoro;fervor, fervour, zeal
festado;celebration
festeno;banquet, feast
festi;to celebrate
festivalo;festival
festo;celebration, festival, party
fetora;bad-smelling, stinking, odorous
fetoranta;bad-smelling, stinking, odorous
fetori;to reek, smell, smell bad, stink
fetoro;stench
feŭda;feudal
feŭdulo;vassal
fi;to shame
fia;nasty
fiakro;cab
fianĉiĝi;to become engaged
fianĉiĝinta;engaged
fianĉiniĝi;to become engaged
fianĉiniĝinta;engaged
fianĉino;bride, fiancée
fianĉo;fiancé
fiaska;abortive
fiaski;to abort, fail
fiaskigi;to abort, quash
fiasko;abortion, failure, fiasco
fibero;muskrat, musk-rat, musquash
fibestoj;vermin
fibolo;safety-pin, safety pin
fibro;fiber, fibre
fidela;faithful
fidi;to have faith, have faith in, trust
fidi al;rely on, trust in
fidi je;have faith in, rely on, trust
fidinda;reliable, trustworthy
fido;confidence, faith, trust
fiera;proud
fieri;to be proud
fieri pri;to be proud of
fiero;pride
fifama;of ill repute
figarbo;fig-tree
figo;fig
figujo;fig-tree
figura;figurative
figuranto;extra
figuri;to depict, represent
figuro;figure, diagram, image, picture, representation
fiinsektoj;vermin
fikcio;fiction
fiki;to fuck, screw
fikopii;to crib
fiksa;fixed
fiksi;to attach, determine, fasten, fix, affix, make fast, secure
fikso;fixing
filatelio;philately, stamp-collecting
filatelo;philately, stamp-collecting
filiigi;to affiliate
filiiĝi;to affiliate
filiko;fern
filino;daughter
filio;affiliate, branch
filmo;film, motion picture, movie
filmruleto;film
filo;son
filozofi;to philosophize
filozofio;philosophy
filozofo;philosopher
filtri;to filter
filtrilo;filter
fina;final
fina parto;back part, hind part
fina prilaborado;finishing off
finaĵo;ending
finalo;decider, play-off
financa;financial
financi;to finance
financo;finance
finaranĝi;conclude, dispatch, expedite, finnish, settle
findecidi;compose, conclude, dispatch, settle
fine;at last, finally, ultimately
finfari;to finish, finish off
finfine;at last, at long last
fingringo;thimble
fingro;finger
fingrofrapo;touch
fingrumi;to finger, handle
fini;to accomodate, end, finish, terminate
fini fuŝrapide;bungle, scamp one's work
finiĝi;to end, come to an end, end up, expire
finiĝo;end, terminate
finita;completed, done, finished, over, through
finlabori;to finish
finlegi;to read, read out
fino;end, ending
finpagi;to pay off
finpago;payment, full payment
finpretigi;to get finished
finstacio;end-of-the-line
finstudi;to finish one's studies
finuzitaĵo;cast-off
finveni;to end up
firakonto;dirty story
firma;fast, firm, stable
firmao;company, firm
firme;firmly
firmigi;to fasten, fix, affix, secure
firmo;company, firm
firsto;coping
fiska jaro;fiscal year
fiŝhoko;hook
fiŝi, fiŝkapti;to fish
fiŝisto, fiŝkaptisto;fisherman
fiŝo;fish
fiŝvergo;fishing rod
fizika;physical
fizikisto;physicist
fiziko;physics
fjordo;fjord, inlet, loch
flago;banner, flag
flagreti;to flicker
flagri;to flare, flare up
flamanta;ablaze
flamengo;flamingo
flami;to flame
flamkapa;hot-headed
flamo;flame
flanelo;flannel
flanka;incidental, side
flanka branĉo;collateral branch, side-branch
flankafero;accessory
flankaĵo;accessory matter, sideissue, sideshow
flanke de;beside, alongside, next to
flanken;to the side
flankeniĝi;to deflect, diverge, wander
flankiĝi;go astray, stray off
flanko;side
flankokupo;hobby, sideline
flankon ĉe flanko;abreast
flankvojo;by-way, side-way
flano;pancake
flaresplori;to smell at, sniff at
flari;to smell
flaro;smell
flarsento;smell
flarumi;to snuffle
flatado;flattery
flate;coaxingly
flati;to flatter
flato;flattery
flava;yellow
flava febro;yellow fever
flava kupro;brass
flavgriza;beige
flavo;yellow
flebito;phlebitis
flegi;to attend, nurse, tend to
flegistino;nurse
flegisto;nurse
flegmo;indifference, phlegm
fleksebla;flexible
fleksi;to bend
fleksiĝi;to bend
fleksita;bend
flikaĵo;patch
fliki;to mend, patch, patch up
flirti;to flirt, flit, flutter
floraĵo;blossom
floranta;abloom
florbrasiko;cauliflower
floro;bloom, flower
florpoto;flowerpot
flosi;to float
floso;raft
floto;fleet
flua;fluent
fluaĵo;fluid, liquid
fluejo;bed, watercourse
flugarmeo;air force
flugfolio;flier
flughaveno;airport
flugi;to fly
flugilo;wing
flugmaŝino;aircraft
flugo;flight
flui;to flow
fluida;fluid, liquid
fluidaĵo;fluid, liquid
flulinia;streamlined
fluo;current, flow, stream
fluoro;fluorine
fluso;flood, high tide
flustrado;whisper
flustri;to whisper
fluto;flute
fobio;phobia
foirkomercisto;market trader
foiro;fair, market
foja;occasional
foje;once, on occasion, sometimes
fojnamaso;haystack
fojno;hay
fojo;occasion, time
foko;seal
fokuso;focus
foldo;slot
foliaro;foliage
folio;leaf, sheet
foliumi;to leaf through
folkloro;folklore
fondaĵo;foundation
fondi;to erect, establish, found
fonduso;fund
fonetiko;phonetics
fono;background
fonoforo;hearing aid
fonografo;cylinder phonograph
fontano;fountain
fonti;to spring, well up
fonto;fountain, source, spring
fontplumo;fountain-pen, fountain pen
for;away
fora;distant, far, remote
forbati;to beat off, knock off, strike off
forbruli;to be burnt down
forbruligi;to burn down
fordoni sin;abandon oneself
fordoni sin al;indulge in
foresta;absent
forestanta;absent
forestanteco;absenteeism
forestantlisto;attendance register
forestanto;absentee
foreste;in one's absence
foreste de;in the absence of
foresteco;absence, non-attendance
foresti;to be absent, be missing
foresto;absence
forflankiĝi;go astray, stray off
forflugi;to fly away
forflui;to flow down, flow off
forfosi;to dig off, level
forgesema;forgetful
forgesi;forget
forĝi;forge
forĝisto;smith
forigi;do away with, get rid of, remove
forigi la manĝilaron;clear away, remove the cloth
forigo;abolition
foriri;to absent onself, depart, go away, leave
foriri malfiere;slink off
foriro;departure
forĵetaĵo;refuse, rubbish, waste
forĵeti;throw away
forĵetindaĵo;garbage, leavings, refuse, rubbish, waste
forklini;to parry, ward off
forko;fork
forkondukado;carrying off, discharge
forkonduki;to divert
forkonduko;carrying off, discharge
forkonsenti;to relinquish, renounce, waive
forkonsumi;to use up
forkuri;to abscond
forlasi;to abandon, forsake, desert, leave, quit
forlasi ĵure;abjure, forswear, swear off, renounce
forlasiteco;abandonment
forlaso;abandonment
forlavi;to wash off
forlesivi;to wash off
forloga;repellent, repelling, repulsive
formala;formal
formanĝi;to eat up
formetejo;shed
formeti;to put away, store
formi;form, shape
formikmanĝulo;anteater
formiko;ant, emmet
formikurso;anteater
formo;form, shape
formorti;to die away, fail
formularo;blank, form
formuli;formulate
formulo;formula
fornaĝi;to swim away
forno;furnace, kiln, oven, stove
forpasi;to march off, retreat, withdraw
forpeli;to chase away, drive away, expel
forpermeso;furlough, leave, pass
forporti;to bring away, carry away
forprenebla;detachable, removable
forpreni;to abstract, take away
forrabo;abstraction
forreagi;to abreact, to react
forregali;to put off, send about his business
forresti;to absent oneself
forsendi;to dismiss, turn away
forsendi ĝentile;put off, rebuff, send about his business
forsendi pretekste;put off, send about his business
forsitio;forsythia
forskui;to shake off
forstreki;to cross out, strike out
forŝovi;move
forŝoviĝo;shift
forŝovo;shift
forta;strong
forteco;force, strength
forteni;to keep at a distance, keep at bay
fortepiano;pianoforte
fortigi;fortify
fortika;firm, robust, sturdy
fortikaĵo;fortification
fortimiga;deterrent, forbidding
fortimigi;to deter, discourage, scare
fortimigo;deterrence
forto;force, strength, vigour
fortostreĉo;exertion
fortranĉi;to cut off
fortransi;to pass away
fortreso;fortress
forturni;turn away
forumo;forum
foruzi;to use up
foruzita;used up
forvelki;to abort
forveturi;to drive away, drive off
forveturo;departure
forviŝi;to delete
forvojaĝi;to depart, leave, set out
fosaĵo;hole, ditch, pit
fosforeska;phosphorescent
fosforeski;to glow in the dark
fosforo;phosphorus
fosi;to dig, grub, spade
fosilio;fossil
fosilo;spade
foso;pole
fosto;pole, post, stanchion, stake
foti;to photograph
fotilo;camera
fotisto, fotografisto;photographer
foto;photograph
fotografaĵo;photograph
fotografi;to photograph
fotografio;photography
fotokopio;photoprint
fragila;fragile
fragmento;fragment, lump, piece
fragmito;reed
frago;strawberry
frajo;spawn
frakasi;to crush, shatter, smash
frakcio;fraction
frako;dress-coat, evening dress, tails
frakseno;ash
frakturo;fracture
framasono;freemason, Mason
frambo;raspberry
franda;alluring, attractive, enticing, tempting
frandaĵo;delicacy, tidbit, sweet
frandi;to relish
franĝipano;almond paste
franĝo;frindge
frapeti;to pat, tap
frapeti sur;tap at
frapi;to hit, knock, strike
frapi sur la pordon;knock at the door, rap at the door
frapo;knock
fratino;sister
frato;brother
fraŭdi;to defraud, swindle
fraŭla;single, unmarried
fraŭlino;unmarried woman, spinster
fraŭlo;bachelor
frazisto;coaxer, flatterer
frazo;sentence
frekventi;to frequent, visit regularly
fremda;alien, foreign, strange
fremdulino;stranger, female stranger
fremdulo;foreigner, stranger
freneza;crazy, insane, mad, nuts
frenezeco;craziness, insanity, lunacy, madness
frenezeta;crack-brained, daft, loopy, nuts, weird
frenezi;to act crazy, rave
freneziĝi;go crazy
frenezo;craziness, insanity, lunacy, madness
frenezulejo;insane asylum
frenezulo;lunatic
freŝa;fresh, recent
freŝdate;recently
freŝiganta;refreshing
frida;cold, frigid
fridigi;to refrigerate
fridujo;refrigerator
fripona;nasty
friponi;to cheat, do something crooked
fripono;cheat, crook, rogue
friti;to fry
fritilo;frying-pan
fritita ovo;boiled egg
frivola;frivolous
frivolo;frivolity
frizi;to curl, do
frizistino;hairdresser, female hairdresser
frizisto;barber, hairdresser
frizo;hair-do
fromaĝo;cheese
fronte al;opposite
fronti;confront, face
fronto;front, battlefront, frontage
frosti;to freeze
frostigi;to freeze
frostigilo;freezer
frostigita;frozen
frostiĝinta;frozen
frosto;freezing cold, frost
frostvundo;frostbite
frotado;friction
froteti;to strike
froti;to rub
froto;friction
frotpuriga;abrasive
frotpurigi;to rub
frotpurigilo;abrasive
frua;early
fruktarbejo;orchard
fruktarbo;fruit-tree
frukti;to bear fruit
frukto;fruit
fruktodona;fertile, fruitful
fruktoporta;fruitful
frumatene;early in the morning
frunto;forehead
frustri;to frustrate
ftizo;consumption, tuberculosis
ftizulo;consumptive
fuĝi;to flee, run away
fuĝo;flight, run
fulgo;soot
fulgoro;firefly
fulmi;to lighten
fulmo;lightning
fumaĵita;smoked
fumaĵita haringo;red herring
fumi;to smoke
fumkupeo;smokers
fumo;smoke
fumtubo;chimney, smokestack
fundamenta;fundamental
fundamento;element, foundation
fundo;bottom, foundation, ground
funebra;mournful
funebra procesio;funeral procession
funebraĵo;funeral service
funebri;mourn
funebro;mourning
funelo;funnel
fungo;fungus, mushroom
funkcii;to function, operate, run, work
funkciigi;control, operate, work
funkcio;function
funkcipreta;in working order
funkciulo;functionary
funto;pound
furioza;furious
furiozeco;amuck
furiozegiĝi;to run amuck
furori;to be a hit, be in
furorlibro;best-seller
furoro;craze, hit
furzi;to fart
furzo;fart
fusilo;gun, rifle
fuŝi;botch, bungle, screw up, spoil
fuŝkontakto;short circuit
fuŝpalpi;to fumble
futbalo;football, soccer
futo;foot
gabardino;gaberdine
gaja;cheerful, gay, merry
gajiga;amusing
gajlo;gall
gajni;to earn, gain, win
gajni monon;make money
gajni sian porvivon per;live on, live upon
gajno;benefit, gain, profit
galaksia;galactic
galerio;gallery
galino;fowl
galinolo;moorhen
galjono;galloon, gold braid, stripe
galo;bile, gall
galopi;to gallop
galopo;gallop
galoŝo;galosh, overshoe
gamaŝo;gaiter
gambo;leg
gamo;gamut, key, scale
gangstero;gangster, hoodlum
ganto;glove, mitten
gapi;to gape, gawk
gapi al;gape at
gapulo;loafer
garaĝi;dock, put away
garaĝo;garage
garantiaĵo;pledge, security
garantii;to guarantee, warrant
garantio;guarantee, warrant
garantiulo;hostage
garbo;sheaf
gardanĝelo;guardian angel
gardenio;gardenia
gardi;to guard, keep, look after, watch over
gardisto;guard
gardo;guard
gardostaranto;sentry
gargari;to gargle, rinse
garni;to garnish, fit out, trim
garnizono;garrison
garolo;jay
gasbotelo;gas cannister, gas cylinder
gaso;gas
gaspedalo;accelerator, accelerator pedal
gastama;hospitable
gastameco;hospitality
gastamo;hospitality
gastejestrino;hostess, landlady
gastejestro;host, innkeeper, landlord
gastejo;hostel, inn
gasti;to be a guest of, stay with
gastigantino;hostess
gastiganto;host
gastigi;to accomodate, entertain, put up
gastloĝi;to be on a visit, stay, stop
gasto;guest
gazelo;gazelle
gazetaro;press
gazetistino;journalist, female journalist
gazetisto;journalist
gazeto;gazette, magazine, newspaper, periodical
gazo;gauze
gazonero;sod, sod of grass, turf
gazono;lawn
geavo;grandparent
geedzeco;marriage
geedziĝa ceremonio;wedding
geedziĝa festo;wedding, wedding-party
geedziĝi;to marry, be married, get married
geedziĝinta;married
geedzo;spouse
geedzoj;couple, married people
gefianĉiĝi;to become engaged
gefrato;brother, sibling, sister
geheno;hell
gejo;homosexual, gay
gejŝo;geisha
geko;gecko
gelo;frost
gemisto;jeweller
gemo;gem, jewel
genciano;gentian
genealogia;genealogical
genealogia tabelo;family tree, pedigree
genealogio;family tree, genealogy, pedigree
genealogo;genealogist
genepo;grandchild
genera;genital
generacio;generation
generalo;general
generi;to beget, generate
genia;ingenious
genio;genius
geniulo;genius, man of genius
geno;gene
genui;to kneel
genuiĝi;to kneel
genuo;knee
geografia;geographic, geographical
geografia karto;map
geografiisto;geographer
geografio;geography
geografo;geographer
geologio;geology
geologo;geologist
geometrio;geometry
gepatro;parent
gepraavo;great-grandparent
geranio;geranium
gesti;to gesture
gestlingvo;sign language
gesto;gesture
gibono;gibbon
giĉeto;window, ticket-window
giganta;gigantic, huge
giganto;giant
gimnastiko;gymnastics
gimnazio;high school
gingivo;gum
gipso;gypsum, plaster of Paris
girlando;garland, wreath
giroskopo;gyroscope
gisto;yeast
gitaro;guitar
glaceo;icing
glacia;icy
glaciaĵo;ice, icecream
glacibalaisto;sweeper
glaciejo;glacier
glacimonto;iceberg
glacio;ice
gladi;to iron, iron clothes
gladilo;iron
gladotabulo;ironing board
glano;acorn
glaso;glass
glata;smooth
glatigi;to smooth, make smooth
glavingo;scabbard
glavo;sword
glazuri;to glaze
glazuro;glaze
glimo;mica
glisi;to glide, plane
glisilo;glider, sailplane
glita;slippery
gliti;to glide, slip
glitiga;slippery
glitilo;skate
glitkuri;to skate
glitkurilo;skate
glitpilko;hockey
glitveturilo;sledge, sleigh
globeto;corpuscle, marble
globkrajono;ballpoint pen
globludado;bowling
globludo;bowling
globo;ball, ball-bearing, globe
globskribilo;ballpoint, ball-point pen
globtrotulo;globe-trotter
glora;famous, glorious
glori;commend, glorify, laud, praise
glorigi;to put on the map
glorkanto;paean
gloro;fame, glory, renown
glosaro;glossary
gloso;gloss
gluaĵo;glue
glueca;sticky
glui;to glue, stick
gluiĝi;to stick
glumarko;sticker
gluo;glue
glutegi;to gulp down
gluteo;buttock
gluti;to swallow
gnomo;brownie, gnome, goblin
gnuo;gnu, wildebeest
golejo;goal
golfeto;bay
golfludo;golf
golfo;golf, gulf
gonoreo;clap, gonorrhea
gorĝdoloro;soar throat
gorĝo;throat
gorĝotranĉi;to cut the throat of
gorilo;gorilla
gracia;graceful
gracieco;grace, gracefulness
graco;grace
grado;degree, grade
grafiko;graphic arts, graphics
graflando;county
grafo;count, earl
grajno;grain, granule, pip
graki;to caw, croak
gramatiko;grammar
gramo;gram, gramme
gramofondisko;grammophone disc
gramofono;phonograph, record-player
granato;pomegranate
granda;big, great, large
grandaĝa;elderly
grandanima;magnanimous
grandeco;size
grandega;enormous, huge, immense
grandioza;grand, grandiose, magnificent, superb
grando;size
grandparte;for the greater part, for the most part
grandvalora;costly, valuable
granito;granite
grapfrukto;grapefruit
grapolo;cluster
grasa;fat, fatty, greasy
grasi;to grease
graso;fat, grease
gratado;scrabble
grati;to scratch
gratuli;congratulate
gratulo;congratulation
grava;important, serious
graveco;concern
graveda;pregnant
gravediĝi;conceive
gravito;gravity
gravuraĵo;engraving
gravuri;to engrave
grego;flock, herd
grenado;grenade
greno;grain
greso;grass
grifelo;stylus
grilo;cricket
grimaci;to grimace
grimaco;grimace
grimpi;to climb
grincado;grating
grinci;to creak, gnash, grate, grind
grio;meal
gripo;flu, grip, influenza
griza;grey
grizo;grey
grizuo;fire-damp
groso;gooseberry
