LANGUAGE=ESPERANTO
abako;abacus
konsekvenco;consequence, consistency
konsentemo;accommodation
konsenti;to accede, agree, consent
konsenti pri;to agree to
konsentite;agreed, OK, O.K., okay
konsento;agreement, consent, permission
konservado;conservation, maintenance, preservation, retention
konservativa;conservative
konservatorio;academy of music
konservejo;box-room, storage room
konservema;conservative
konservemulo;conservative
konservi;conserve, keep, maintain, preserve
konservo;conservation, maintenance, preservation, retention
konservulo;conservative
konsiderema;thoughtful
konsideri;consider, esteem, regard
konsideri kiel;consider
konsiderinda;considerable, sizable
konsidero;consideration, deliberation
konsilantara salono;boardroom
konsilantaro;council
konsilanto;counsellor
konsilejo;boardroom
konsileto;hint, tip
konsili;to advise, counsel
konsiliĝi;to deliberate
konsiliĝo;consideration, deliberation
konsilinda;advisable
konsilo;advice, counsel
konsisti;consist
konsisti el;consist of
konsistigaĵo;component, element, ingredient, part
konsistigi;constitute, make up
konsisto;consistency
konsoli;comfort, console
konsoliĝi pri;to get over
konsolo;consolation
konsonanco;chord
konsonanto;consonant
konspiri;conspire
konspiro;conspiracy
konstanta;constant, continual, permanent, sustained
konstati;to ascertain, establish, take note
konsternanta;startling
konsterni;to appall, dismay, puzzle
konsterniĝinta;upset
konsternita;taken aback, upset
konsterno;consternation
konstipi;constipate
konstipo;constipation
konstitucio;constitution
konstruado;building
konstruaĵo;building
konstruentreprenisto;builder, contractor, building contractor, master builder
konstrui;to build, construct
konstruisto;builder
konstruplano;specifications
konsulejo;consulate
konsulo;consul
konsulti;consult
konsulto;consultation
konsumanto;consumer
konsumi;consume, use up
kontaĝa;catching, contagious, infectious
kontaĝi;communicate
kontaĝo;contagion, contamination, infection
kontakti;contact
kontaktloko;point of contact
kontakto;contact
kontaktpunkto;point of contact
kontanto;cash money
kontekspertizisto;accountant
kontempla;contemplative
kontempli;consider, contemplate, envisage, look at, regard, view
kontenta;contented, pleased, satisfied
kontentiga;satisfactory
kontentigi;to meet with, satisfy
kontento;contentment, satisfaction
kontestebla;debatable, questionable
kontesti;to challenge, question
kontinento;continent, mainland
kontinua;lasting
kontinui;continue, last
kontinuigo;continuance, perpetuation
konto;account
kontorbezonaĵbutiko;stationer's shop
kontoro;office
kontoscienco;accountancy
kontrabandi;to smuggle
kontrabandisto;smuggler
kontrabando;contraband
kontrakti;to make a contract
kontrakti prunton;contract a loan
kontraktita;job-
kontrakto;contract
kontralto;contralto
kontrasti;contrast
kontrasto;contrast
kontraŭ;across from, against, in exchange for, opposed to, opposite, upon
kontraŭa;alien, contrary
kontraŭa al;alien to
kontraŭargumento;objection
kontraŭbatali;combat, contend with, fight, fight against
kontraŭdiri;contradict
kontraŭe;on the contrary, otherwise
kontraŭe de;opposite
kontraŭfrostaĵo;anti-freeze
kontraŭglita ĉeno;non-skid chain
kontraŭi;to oppose
kontraŭkoncipa;contraceptive
kontraŭmendi;to cancel, countermand
kontraŭmoskita gazo;mosquito-net, mosquito-netting
kontraŭmoskita vualo;mosquito net
kontraŭsepsa;antiseptic
kontraŭsklaveca movado;abolitionism
kontraŭsklavecisto;abolitionist
kontraŭsocia;antisocial, unsocial
kontraŭstarema;intractable, obstinate, refractory, stubborn
kontraŭstari;confront, stand up to, withstand
kontraŭstaro;resistance
kontraŭtanka;anti-tank
kontraŭulo;adversary, opponent
kontraŭveneno;antidote
kontraŭvole;against one's will
kontrevizoro;accountant
kontribuaĵo;contribution
kontribui;contribute
kontribuo;contribution
kontricio;compunction, contrition, remorse, repentance
kontroli;to audit, check, check up on, supervise, verify
kontrolisto;checker, controller
kontrolsumo;checksum
kontumace;in one's absence
konturi;to delineate, draw
konturo;contour, outline
kontuzaĵo;bruise
kontuzi;to bruise
konuso;cone
konvena;appropriate, becoming, seemly, suitable
konvencio;convention
konvene;appropriately
konveni;to be appropriate, suit, be suitable
konverĝi;converge
konversacii;converse
konversacio;conversation
konverti;convert
konvertiĝo;conversion
konvertito;convert, proselyte
konverto;conversion
konvikti;convict
konvinki;convince, persuade
konvinko;belief, conviction
konvulsio;convulsion
kopii;copy
kopio, kopiaĵo;copy
kopirajto;copyright
kora;cardiac, cordial, hearty
korako;raven
koralinsulo;atoll
korbo;basket
korbopilko;basketball
kordo;cord, string
kordono;cordon
korekta;correct, right
korekti;correct
korespondi;correspond
korfavoro;charity, mercifulness, mercy
koriandro;coriander
koridoro;corridor, passage
korinklino;affection
korko;cork
korktirilo;corkscrew, cork-screw
korligita;close, dear to the heart
kormorano;cormorant
korniko;crow
korno;hooter, horn, klaxon
kornuso;cornel, dogberry
koro;heart
korodi;corrode
korono;corona
korpa;bodily, body, body-, corporal, corporeal, of the body, physical
korpigi;to embody
korplingvo;body language
korpo;body
korpodoro;body smell
korporacio;corporation, trade-union
korpremita;dejected, depressed
korpremiteco;dejection, depression, oppression
korpulenta;fat, stout
korpuso;corps
kortbirdo;fowl
korteganaro;royal household
korteganino;lady-in-waiting
korto;court, yard, courtyard
kortumo;court
kortuŝa;moving, touching
kortuŝi;to affect, move
kortuŝita;seized with emotion
korupteco;corruption
korupti;to bribe
koruptilo;bribe
korvo;crow
kosma spaco;outer space *lit. cosmic space
kosmo;cosmos
kosta;dear, expensive
kosti;to cost
kosto;cost
kostoj;charge, cost, expense
kostumo;costume, outfit, suit
koŝmaro;nightmare
kotizi;to subscribe
kotizo;dues, subscription
kotkovrita;muddy, mud-stained
kotleto;cutlet
koto;mud
kotono;cotton
kotŝirmilo;mudguard
koturno;quail
koverto;envelope
kovi;to incubate, sit
kovraĵo;cover
kovri;cover
kovri parte;overlay
kovrilo;cover, hood, lid
kovro;cover
kovropapero;wrapping-paper
krabo;crab
kraĉi;to spit
kraĉujo;cuspidor, spittoon
kradi;to fence in, fence off, rail in, rail off
krado;grate, grid, grill
kradrostado;barbecue
kradrosti;to barbecue
kradrostilo;barbecue
krajono;pencil
krajonpintigilo;pencil sharpener
kraketa;brittle, crisp, crunchy
kraketado;grating
kraketi;to crackle
kraki;to crack
krako;crack
krampo;clamp, brace, bracket, parenthesis, staple
kranio;skull *cranium
kranko;crank
krano;faucet, tap
kravato;tie, necktie
kredebla;plausible
kredema;credulous
kredi;to believe, deem
kredi je;believe in
kredinda;plausible
kreditkarto;credit card
kredito;credit
kredo;belief
krei;to create
kreito, kreitaĵo;creature
kremacii;to cremate
kremacio;cremation
kremo, kremaĵo;cream
kreno;horse-radish, horseradish
krepuska;dim
krepusko;dusk, twilight
kreskado;growth
kreskaĵbarilo;hedge
kreskaĵo;plant, growth
kreski;to grow
kreski per ŝlimo;silt up
kresko;growth
kresto;mountain ridge
krevaĵo;burst, crack, flaw
krevi;to burst
krevinta;cracked
krevo;burst, crack
kribri;to sift
kribrilo;sieve
kriegi;to yell
kriego;scream
krifo;claw, talon
krii;to cry out, scream, shout
kriko;jack
krima;criminal
kriminala kodo;penal law
kriminala leĝo;criminal law
krimo;crime
krimulo;criminal
krio;cry, shout
kripla;crippled, infirm
kriptono;kriptono
kristalo;crystal
kristaniĝi;to become a Christian
kritikanto;critic, judge
kritiki;to criticize
kritiko;criticism
kriza;critical
krizo;crisis, depression, emergency
kroĉi;hook
kroĉilo;hook
krokodili;to crocodile
krokodilo;crocodile
krokosmio;montbretia
krokuso;crocus
krom;apart from, besides, except, except for
krom se;unless
krom tio;besides, in addition, moreover
kroma;accidental, additional
kromnomo;byname, nickname, sobriquet
kromprodukto;waste product
kromtubo;spare tire, spare tyre
kromvirino;concubine
kronado;coronation
kroni;to crown
kronikisto;chronicler, historian
kroniko;chronicle
krotalo;rattlesnake
krozi;to cruise
kruci;to cross
krucifikso;crucifix
krucmarki;to check off, mark with a cross, put a cross against, tick off
kruco;cross
krucosigni;to make the sign of the cross
krucumi;to crucify
krucvortenigmo;crossword puzzle
kruĉo;jug, pitcher
kruda;crude, raw, rough
kruda petrolo;crude oil
kruda skizo;adumbration, shadow
kruela;cruel
kruelega;horrible
kruro;leg, paw
krurrompo;fracture of the leg
krurvindo;puttee
kruta;abrupt, steep
krutaĵo;precipice
kruteco;steepness
kruzero;cruzeiro
ksenono;xenon
kubutlibereco;elbow room
kubuto;elbow
kudrado, kudraĵo;needlework
kudrero;stitch
kudri;to sew
kudrilarkorbo;sewing-basket, work-basket
kudrilaro;sewing-things
kudrilarujo;sewing-box
kudrilo;needle
kudristino;needlewoman, seamstress
kudrofadeno;sewing-thread
kudrokurso;sewing-class
kudromaŝino;sewing-machine
kufo;bonnet, cap
kuglo;bullet
kuirejo;kitchen
kuirejstablo;dresser
kuiri;cook
kuiriĝi;cook
kuiristino;cook, female cook
kuiristo;cook, male cook
kuirpoto;cooking pot
kukbakejo;confectionery
kukbakisto;confectioner
kukejo;confectioner's, confectioner's shop
kuketo;cupcake *kuko (cake) + et + o
kuketujo;biscuit tin
kuko;cake
kukolo;cuckoo
kukumeto;gherkin
kukumo;cucumber
kukurbo;gourd, pumpkin, squash
kulerĉerpi;to dish up
kulerego;spoon, large spoon
kulero;spoon
kuliso;flat
kulmo;blade, stalk
kulo;gnat
kuloto;short pants, shorts
kulpa;guilty
kulpiga;accusatory
kulpigi;to accuse, blame
kulpigi pri;to accuse of, charge with, impeach of, indict for, tax with
kulpigito;accused, defendant
kulpigo;accusation, charge, complaint, indictment
kulpiko;gnat-bite, midge-bite
kulpo;blame, fault, guilt
kulpulo;culprit
kulŝirmilo;mosquito net
kulti;worship *cult
kultivado;cultivation, tillage
kultivi;to cultivate
kulto;cult
kulturejo;plantation
kulturi;to cultivate, grow
kulturkampo;farmland
kulturo;culture
kulvualo;mosquito net
kun-;co-, fellow
kun rezervo pri;to bar, barring, except for, subject to, without prejudice
kunbekiĝi;to squabble, wrangle
kune;together
kune kun;together with
kunfandaĵo;alloy
kuniga krampo;brace
kunigi;join, unite
kunigi node;tie on
kuniĝi;to associate, come together, join, pool
kuniĝo;joining, junction
kuniklo;rabbit
kuniri;go with
kunkudraĵo;seam
kunkudri;to sew together
kunkudro;seam
kunkulpa;accessory
kunkulpulo;abetter, accessory, accomplice
kunlabori;cooperate, co-operate
kunligi;connect, join
kunligo;connection
kunmeti;to put together
kunmunti;to assemble
kunnaskita;congentital, inborn, inbred, innate, native
kunordigi;coordinate, co-ordinate
kunporti;to bring along, take along
kunrespondi;correspond
kunrespondo;connection
kunsento;sympathy
kunsidantaro;assembly
kunsido;meeting
kuntiriĝi;cower, shrink
kunularo;company
kunulo;companion
kunveni;to assemble, congregate, gather, meet
kunvenigi;take along
kunveno;assemblage, gathering, meeting
kunvivi;to huddle
kunvoki;convoke
kunvoko;parade, roll-call
kupeo;compartment, coupé
kupli;couple
kupolo;cupola, dome
kupono;coupon
kupra;copper
kupro;copper
kuraca;medical
kuraca gimnastiko;physiotherapy
kuracado;treatment
kuraci;to care for, cure, treat
kuracilo;drug, medicine, pharmaceutical
kuracisto;doctor, physician
kuraĝa;brave, courageous, valiant
kuraĝi;to be bold, dare
kuraĝi batali kontraŭ;dare to fight, stand up to
kuraĝi entrepreni;to dare, venture
kuraĝigi;to encourage
kuraĝigo;encouragement
kuraĝo;courage
kurataki;to assault, storm
kuratako;assault, storming
kurba;bent, curved
kurbigi;to bend
kurbiĝadi;twist
kurbiĝi;to bend
kurbo;bend, curve
kuregi;to race, run
kuregisto;runner
kurejo;course, race-course, track, running track
kurento;current
kuri;to run
kuriero;courier*
kurioza;curious, interesting, quaint
kurso;class, course
kurta;short
kurteno;curtain
kurtigi;to abbreviate, shorten
kurzo;exchange rate, rate of exchange
kuseno;cushion
kuŝi;to lie, recline
kuŝi supre sur;be on top of, lay on top of
kuŝigi;to lay
kuŝiĝi;to lie down
kutima;accustomed, customary, used to, usual, wonted
kutimi;to accustom, be in the habit of
kutimiĝi;to accustom oneself, get used
kutimo;custom, habit, way
kuvo;tub, vat
kuzino;cousin
kuzo;cousin
kvadrata;square
kvadratita;checked, chequered
kvadratmejlo;square mile
kvadrato;square
kvalifi;to qualify
kvalifiki;to qualify
kvalifikita;able
kvalifiko;ability, qualification
kvalito;property, quality
kvankam;though, although
kvanto;quantity
kvar;four
kvara;fourth
kvarangulo;quadrangle
kvarco;rock-crystal
kvardek;forty
kvaronhoro;quarter of an hour
kvarono;fourth
kvarope;by fours
kvartalaĉo;back street, slum
kvartalo;district, neighbourhood, quarter
kvazaŭ;as if, as though, in a way
kvazaŭĉasta;demure
kvazaŭdecmora;demure
kvazaŭpruda;demure
kvereli;to quarrel, wrangle
kverelo;quarrel
kverko;oak
kvieta;calm, quiet *quiet
kvieteco;calmness, quietness
kvietiĝi;to abate, subside
kvieto;calm, quiet, silence
kviettemperamenta;staid
kvin;five
kvina;fifth
kvindek;fifty
kvinono;fifth
kvita;even, paid up, paid-up
kvitanci;to receipt
kvitanco;receipt
kvitiĝi;to settle, square up
kvitiĝo;settlement
l';the
la;the
la antaŭan semajnon;last week
la cia;yours
la hieraŭan nokton;last night
la ilia;theirs
la lia;his
la mia;mine
la nia;ours
la pasintan nokton;last night
la pasintan semajnon;last week
la plejparto de;most of
la proksiman semajnon;next week
la sama;the same
la ŝia;hers
la tutan;all, throughout the
la venontan semajnon;next week
la via;yours
laboranto;worker
laboratoria asistanto;laboratory assistent
laboratorio;laboratory
laborborso;employment exchange, labor exchange, labour exchange
labordivido;division of labor, division of labour
laboregi;work hard
laborejo;workplace
laborema;hardworking
laborenskribo;tender
laboreto;trifle
labori;work
laborilo;tool
laborintensiva;labor-intensive, labour-intensive
laborista klaso;working class, working classes
laborista movado;labor movement, labour movement
laboristino;female laborer, femal labourer, femal worker
laboristo;hand, laborer, labourer, operative, worker, working man, workman
laborkapitalo;working capital
laborkondiĉoj;terms of employment
laborkonflikto;labor dispute, labour dispute
labormaltaŭga;disabled, unfit for work
labormerkato;labor market, labour market
labornekapabla;disabled, unfit for work
laboro;job, work
laborposteno;job
laborpreta;in working order
laborulo;hand, laborer, labourer, operative, worker, working man, worker
laca;tired
lacega;exhausted, tired out, worn out
lacegigi;to fag out, jade, overdrive, override
lacerto;lizard
laciĝi;to get tired
laĉo;shoe-lace
lada;sheet metal, tin, tin plate
ladbotelo;flask
lado;sheet metal, tin, tin plate
ladskatolo;can, tin, tin can
lafa;lava
lafo;lava
lageto;pond
lago;lake, loch
lagro;bearing
laguno;lagoon
laika;lay
laiko;layman
lakeo;lackey
laki;to lacquer, varnish
lako;lacquer
laksa;loose
laksigilo;laxative
lakso;diarrhoea
laktaĵfabriko;dairy
lakto;milk
laktuko;lettuce
laktumo;roe
lama;lame
lambastono;crutch
lamenti;to lament, wail
lami;to limp
lamio;dead-nettle
lampa petrolo;kerosene
lampo;lamp
lampŝaltilo;light-switch
lana;wool
lanco;lance, spear
lanĉi;to launch
landano;compatriot
landinterno;hinterland
landlimo;border
lando;country, land
landstrato;highway
lanfadeno;worsted
lango;tongue
langusto;lobster
lano;wool
lanta;slow
lanterno;lantern
lanugo;down, fluff
lapo;burr
lapsano;nipplewort
lardo;bacon
larĝa;broad
larĝeco;width
larĝo;width
lariko;larch
laringito;laryngitis
laringo;larynx
larmi;to shed tears, weep
larmo;tear
larvo;grub, larva
lasi;to allow, leave, let, release
lasta;last
lastatempe;lately, recently
latekso;latex
lato;lath, slat
latrino;latrine
latuno;brass
laŭ;according to, along, by
laŭ deziro;at choice, at pleasure, at will
laŭ la cirkonstancoj;in the circumstances, under the circumstances
laŭ onidiroj;it is understood that, it is rumoured that
laŭbo;arbor
laŭdi;commend, laud, praise
laŭdinda;commendable
laŭdire;allegedly, as is being said
laŭdo;praise
laŭgrada;gradual
laŭlarĝe;crossways
laŭlegenda;legendary
laŭleĝa;legal
laŭlitere;to the letter
laŭlonge;lengthwise
laŭlonge de;along
laŭmoda;fashionable
laŭnominala;at par
laŭofice;officially
laŭplaĉe;as one pleases
laŭro;laurel
laŭsistema;systematic
laŭta;loud
laŭvice;in turn
laŭvide;by sight
laŭvole;as you wish, at will
laŭvorta;literal
lavaĵpinĉilo;clothespeg, clothespin
lavango;avalanche
lavejo;washroom
lavendo;lavender
lavi;to wash
lavi la manĝilaron;wash up
lavistino;laundress
lavkuvo;washing-up bowl
lavpurigebla;washable
lavpurigi la manĝilaron;wash up
lavurso;raccoon, racoon, washing-bear
lazo;lasso
lazuro;sky blue
leciono;lesson
ledaĵoj;leather goods
ledo, leda;leather
legacio;legation
legaĵo;reading matter
leganto;reader
legebla;legible
legendo;legend
legi;to read
leginda;worth reading
legio;legion
legitimi;to legitimize
legomo;vegetable
leĝera;light
leĝo;law
lekanteto;daisy
lekanto;marguerite
lekcii;to lecture
lekcio;lecture
leki;to lick
leksiko;vocabulary
lektoro;lector, lecturer
lekumi;to eat, eat cunt
lemingo;lemming*
lenso;lens
lento;lentil
lentugo;freckle
leono;lion
leontodo;dandelion
leopardo;leopard
leporhundo;greyhound
leporo;hare
lepro;leprosy
leprulo;leper
lernejaj ferioj;school holidays
lernejano;pupil, scholar
lernejestro;headmaster, head of a school
lernejo;school
lerni;to learn
lernigi;teach
lernita;acquired, learnt
lernolibro;textbook
lerta;clever, dexterous, skillful
lerteco;expertness, skilfulness, skill, skillfulness
lesivakvo;lather
lesivejo;laundry
lesivi;to wash
lesivi vestojn;wash clothes
lesivistino;laundress
lesivo;lye
letargio;lethargy
leterbloko;notepad
leterkesto;letterbox, mailbox
letero;letter
leterpapero;writing-paper
leterportisto;postman
leŭtenanto;lieutenant
levi;to lever, lift, raise
leviĝi;to ascend, get up, go up, lift, rise, arise
levilo;crow-bar, crowbar
levstango;crow-bar, crowbar
lezi;to harm
lezo;harm
li;to he, him
lia;his
libelo;dragonfly
libera;free
liberala;liberal
libereco;freedom
liberigi;to release
liberigi sin de;get rid of
libertempo;spare time, time off, vacation
libervola;voluntary
libraro;book collection
librejo;library
libreto;booklet
libro;book
librobutiko;bookshop, bookstore
libroŝranko;bookcase
librotenado;book-keeping
librotenisto;book-keeper
librovendisto;bookseller
licenco;licence, license
liceo;lyceum
lifto;elevator, lift
ligaĵo;braid, fillet, string, tie
ligamento;ligament
ligfermi;to ligature, tie, tie up
ligi;to bind, connect, join, tie, tie up
ligilo;bond, tie
ligna;wooden
lignero;splinter
ligno;timber, wood
lignogarni;board, wainscot
lignokarbo;charcoal
ligo;connection, league
ligustro;privet
likva;liquid
likvaĵo;liquid
likvida;liquid
likvidi;to liquidate
likvoro;liqueur
lilako;lilac
lilio;lily
limako;slug
limdifini;to mark out, trace, trace out
limi;bound
limiga;restrictive
limigi;to abridge, confine, limit, restrict
limigo;limitation, restriction
limo;boundary, frontier, limit
limonado;lemonade
limtuŝanta;adjacent
limtuŝi;to abut, adjoin, be next to
lin;him
linaĝo;linen
lingva;linguistic
lingvistika;linguistic
lingvisto;linguist
lingvo;language, tongue
liniilo;ruler, straightedge, straight-edge
linio;line
linko;lynx
lino;flax
linoleo;lineseed oil, lineseed-oil
linoleumo;linoleum
liphararo;moustache
lipharoj;moustache
lipo;lip
lirli;to burble, gurgle, murmur, purl
liro;lira, lyre
lispi;to lisp
listigi;to list, make a list
listo;list
lita superkovrilo;bedspread, counterpane, coverlet
litaĵo;bed-clothes, bedding
litanio;litany
literaturo;literature
litero;letter
literumi;to spell
litio;lithium
litkadro;bedstead
litkovrilo;blanket
litkuseno;pillow
litmalsana;bedridden, confined to one's bed, laid up
lito;bed
litro;liter, litre
litŝranko;cupboardbed
littuko;sheet
liturgio;liturgy
liturinado;bed-wetting, enuresis
litvagono;sleeping-car
liuto;lute
livera servo;parcels delivery, parcels service
liveraŭto;delivery van
liveri;to deliver, furnish, supply
livero;delivery
logaĵo;bait
logi;to attract, decoy, lure
logiko;logic
logilo;bait
loĝado;habitation
loĝanta;housed
loĝantaro;population
loĝanto;inhabitant
loĝejo;abode, accommodation, dwelling, residence
loĝi;to dwell, live
loĝigo;accommodation
loĝloko;abode, dwelling place, dwelling-place, residence
loĝoĉambro;living room, living-room, sitting room, sitting-room
lojala;faithful, loyal
loka;local
loki;locate, place
loko;location, place, spot
lokomotivo;engine
lokusto;grasshopper, locust
lombardejo;pawnshop
lombardi;borrow money on, pawn
lombardo;pawning
longa;long
longano;longan
longe;a long time, for a long time
longeco;length
longetempa;long, of long standing, prolonged, protracted
longitudo;longitude
longo;length
lordo;lord
lorno;binocular, binoculars
loterio;lottery, raffle
loti;to draw lots
lotumi;to allot
lotuso;lotus
luanto;renter, tenant
lucerno;hanging lamp
ludejo;playground
ludi;to play
ludi sur;play, play on
ludilo;toy
ludo;game
ludoni;to let
luebla;for rent
luebla domo;house to let
lui;to hire
luigi;to let, rent out
luigita;hired out
luita domo;hired house, rented house
luko;porthole, skylight
lukontrakto;lease
luksa;deluxe, de luxe, luxurious
luksaĵo, lukseco;luxury
lukso;luxury
lukti;to struggle, wrestle
luli;to lull, rock
lulilo;cradle
lulkanto;lullaby
luma;bright, light
lumbo;loin
lumbriko;earthworm
lumĝeni;to dazzle
lumi;to shine
lumigi;to illuminate, light
lumigo;lighting
lumo;light
lumŝirmilo;lamp-shade
lumtubo;fluorescent lamp
lumturo;lighthouse
luna;lunar
lunĉo;lunch, snack
luno-;lunar, moon-
lupago;rent
lupeo;magnifying glass
lupino;lupine, she-wolf
lupo;wolf
lupolo;hop, hops
luprezo;rent, rent money
lustro;chandelier
lutaĵo;solder
luti;to solder
maco;matzo, unleavened bread
maĉgumo;chewing gum, chewing-gum
maĉi;to chew
magazeno;department store, warehouse
magazino;magazine
magio;magic
magistrata domo;town-hall
magistro;master
magneta;magnetic
magnetigi;to magnetize
magnetismo;magnetism
magneto;magnet
magnetofono;tape recorder, tape-recorder
magnetoskopo;video recorder, video-recorder
magnezio;magnesium
magra;gaunt, lean, meager, skimpy, skinny, thin
maĥo;mach
maizo;corn, Indian corn, maize, mealies
majesta;majestic
majesto, majesteco;majesty
majorano;majoram
majoritato;majority
majoro;major
majskarabo;june bug
majstro;maestro, master
majusklo;capital letter
makabra;macabre
makaronio;macaroni
makleraĵo;brokerage, commission
makleri;to act as a middleman
maklero, makleristo;broker
makropo;kangaroo
maksimuma;maximum
maksimumo;maximum
makuleto;spot
makuli;soil, spot, stain
makulo;blot, spot
makzelo;jaw, jawbone
mala;contrary, opposite
malabunda;in short supply
malafabla;brutal, gruff, harsh, rough, sour, surly, unkind, unpleasant
malafablega;grim
malagrabla;bleak, dismal, dreary, horrible, ghastly, grisly, nasty
malagrabla laboreto;bad job
malakcepti;to reject
malakcepti voĉdone;reject
malakcepto;rejection
malakra;blunt
malakrigi;to blunt
malalta;low
malalta lernejo;grammar school, primary school
malaltega prezo;distress prize, rock-bottom prize
malaltigi;to abase, decrease, lower
malaltigi la prezojn de;mark down
malaltigo;abasement
malaltreliefo;bas-relief, low relief
malaltvalora;inferior
malami;to hate
malamika;hostile
malamikeco;enmity
malamiko;enemy
malaminda;nasty
malamo;hate
malantaŭ;behind, after
malantaŭa akso;back axle, hind axle, rear axle
malantaŭa benko;back seat, rear seat
malantaŭa flanko;back, reverse, reverse side
malantaŭa glaco;rear window
malantaŭa lampo;rear-lamp, rear-light, tail-light
malantaŭa parto;back, rear
malantaŭa platformo;rear platform
malantaŭa pordo;back-door
malantaŭa rado;back wheel, hind wheel, rear wheel
malantaŭe;behind
malantaŭen;aback, backwards
malantaŭplano;background
malaperi;to disappear
malaperigi;to liquidate, to disappear
malapero;disappearance
malaprobegi;do down, slash, slate
malaprobi;condemn, disapprove, disapprove of, rebuke
malaprobinda;blameworthy, censurable, condemnable, objectionable
malaprobo;censure, condemnation, disapprobation, disapproval
malario;malaria
malatenti;to neglect
malavantaĝo;disadvantage
malavara;generous
malbela;nasty, ugly
malbelega;dismal, dreary, horrible, nasty
malbeni;to curse
malbobenado;unrolling, unwinding
malbobeni;to unroll, unwind, wind off
malbona;bad, miserable, nasty, poor
malbona traktado;abuse
malbonaĵo;abuse
malbone;badly
malbonfaro;outrage
malbonfartanta;not well, unwell
malbonhumora;cross, peevish, pettish, petulant
malbonigi;to spoil
malboniĝi;go bad
malboniĝo;corruption, decay, depravation, taint
malbonkvalita;inferior
malbonŝance;unfortunately
malbonŝanco;bad luck
malcedi;confront
malĉasta;lewd
malĉastulino;slut, trollop
maldekstra;left
maldekstra flanko;left, left side
maldekstre;on the left
maldekstren;left, to the left
maldelikata;coarse, crude, harsh
maldetala;general, vague
maldika;gaunt, lean, slender, thin
maldiligenta;lazy
maldiligenteco;laziness
maldiskreta;meddlesome
maldiskreteco;meddlesomeness, indiscretion
maldolĉa;bitter
maldolĉeco;bitterness
maldorma;awake
maldunga aranĝo;redundancy pay, redundancy scheme, severance scheme
maldungi;to discharge, dismiss, fire, sack
maldungo;discharge, paying off
male;on the contrary
malebena;bumpy
malebenaĵo;bump
malebligi;to bar, inhibit, prevent
malebria;sober
malegala;different
maleleganta;coarse, crude
malembarasi;to rid
maleolo;ankle
malespera;desperate
malesperi;to despair
malespero;despair
malestimeco;abjection
malestimi;to despise
malestiminda;abject
malestimo;contempt
malfacila;difficult, hard, inconvenient
malfacilaĵo;difficulty, trouble
malfacile;hardly, not easily, with difficulty
malfaciligi;to hamper, hinder, thwart
malfaldi;to spread out
malfekunda;barren, infertile
malfeliĉa;unhappy
malfeliĉiga;miserable
malfeliĉulo;unfortunate
malfermegi la buŝon;open one's mouth wide
malfermetita;ajar
malfermi;to open, open up
malfermiĝi svinge;swing open
malfermita;open
malfermo;opening
malfida;suspicious
malfidela;unfaithful
malfideliĝi;to apostatize, desert, secede
malfideliĝo;apostasy, defection
malfidelulo;deserter, renegade
malfidema;suspicious
malfido;suspicion
malfieriĝi;to back down, climb down
malfluo;ebb, low tide
malfluso;low tide
malforta;faint, light, weak
malfortigi;to weaken
malfortiĝi;to abate, weaken
malfreŝa;stale
malfreŝaera;close, frowsty, stuffy
malfrua, malfrue;late, tardy
malfrui;to be late
malfruiĝo;delay, retardation
malfrumatene;late in the morning
malfrunokte;late at night
malfruposttagmeze;late in the afternoon
malfunkciigi;to shut off, stop, switch off, turn off
malfunkciiĝi;go on the blink, malfunction
malgaja;bleak, dismal, dreary, gaunt, miserable, sad, somber
malgajeco;grief, sadness, sorrow
malglata;coarse, rough
malgracia;awkward
malgranda;diminutive, little, small
malgrandanimeco;pettiness, small-mindedness
malgrandega;tiny
malgrandiĝi;to decrease, decline, wane
malgrasa;gaunt, thin
malgraŭ;despite, in spite of, notwithstanding
malĝentila;rude
malĝentilega;as bold as brass, incredibly insolent, shameless
malĝoja;dismal, gaunt, miserable, sad
malĝoji;to be grieved, be sad, be sorrowful
malĝojiga;dismal, miserable
malĝojigi;to afflict, cause pain, cause pain to, distress, give pain to
malĝojo;sadness, sorrow
malĝusta;incorrect, wrong
malhavi;to lack
malhela;bleak, dark, dismal, dreary
malhelblua, malhele blua;dark blue
malheliĝi;to darken
malhelpaĵo;handicap, impediment, obstacle
malhelpi;to bar, hinder, inhibit, prevent
malhelpo;hindrance
malhisi;lower
malhonesta;nasty
malica;malicious, mischievous, nasty, vicious
malice ruza;shrewd
malico;craft, craftiness, cunning, guile
maligna;vicious
malinhibicio;abandon
malinklina;averse
malinteligenta;obtuse
maljuna;old
maljunulejo, maljunula hejmo;old people's home, retirement home
maljunulino;gammer, old woman
maljunulo;old man
malkara;cheap, inexpensive
malkaŝa;above-board
malkaŝi;to reveal
malklara;indistinct
malklariĝi;to blur, fade
malkomforto;discomfort
malkompakta;loose, sandy
malkoncentri;to disperse, dilute, rarefy, thin
malkonekti;to cut, cut a connection
malkonsili;to advise against, dissuade from
malkonstruado;demolition
malkonstrui;to break down, demolish, pull down, take down
malkonstruigebla;destructible
malkonstruo;demolition
malkonvena;not fitting, unseemly
malkovri;to discover, uncover
malkovro;discovery
malkreski;to abate, decrease, diminish
malkresko;abatement, decrease, diminution, wane
malkupli;to uncouple
malkuraĝa;afraid
malkuraĝeco;cowardice
malkuraĝiĝi;to be discouraged
