LANGUAGE=ESPERANTO
absolute;absolutely
bildo;image, picture
birdo;bird
blanka;white *blanc (fr)
blinda;blind
bloko;block
blovi;to blow
blua;blue
boato;boat
bona;good
bone;fine, well
bonega;excellent *bona (good) + eg (augmentation) + a
bonŝanca;lucky *bona (good) + ŝanco (chance) + a
bonŝanco;luck *bona (good) + ŝanco (chance) + o
bonvenon;welcome, welcome! *bienvenue (fr)
bordo;shore *border
bori;to bore, to drill
botelo;bottle
bovino;cow *bovine
bovlo;bowl
brako;arm *brachi
brakumi;to embrace, to hug *brako (arm) + um (non-specific) + i
branĉo;branch
brila;bright, brilliant
brili;to blink, to shine *brilliant
brita;british
brosi;to brush *brosser (fr)
brovo;eyebrow *brow
bruli;to burn *brûler (fr)
bruna;brown
bruo;noise *bruit
brusto;breast, chest
bukliĝi;to curl *bukli (curl) + iĝi (become)
buŝo;mouth *bouche (fr)
butiko;shop *boutique
butono;button
ĉambristino;maid *ĉambro (room) + istino (female professional)
ĉambro;chamber, room *chamber
ĉapelo;hat
ĉapitro;chapter
ĉapo;cap *ĉapo = cap, kapo = head
ĉar;because *car (fr)
ĉarmo;charm
ĉaro;cart, chariot, wagon
ĉasi;to hunt, chase
ĉe;at
ĉeestanta;present, present (adj)
ĉeesti;to attend
ĉeesto;presence
ĉefa;main *chief
celi;to aim
ĉelo;cell
celo;purpose, goal, aim
ĉemizo;shirt
ĉeno;chain, string *chain
cent;hundred
centro;center, centre
cerbo;brain *cerveau (fr)
certa;certain
certe;certainly, sure, surely
certigi;to assure, to secure
ĉesi;to cease, to stop
ĉevalo;horse *cheval (fr)
ĉi tie;here *tie = there
ĉi tio;this
ĉi tiuj;these
ĉi-lasta;latter
ĉi-vespere;tonight *ĉi (here) + vespere (evening)
ĉiam;always, ever
ĉie;everywhere *E is place
ĉielo;heaven, sky *ciel (fr)
cigaredo;cigarette
ĉina;chinese
ĉio;everything
ĉirkaŭ;around *circa
ĉirkaŭi;to surround *ĉirkaŭ (around) + i
cirklo;circle, geometric circle
cirkonstanco;circumstance
ĉiu;each, every
ĉiuj;all, everybody, everyone
ĉiuokaze;anyway, anyhow, in any case, at any rate
ĉiutaga, ĉiutage;daily *ĉiu (each/every) + tag (day) + a
civitano;citizen *civil
colo;inch
ĉu;either, whether *CHOOse either or whether
damaĝo;damage
danci;to dance
danĝera;dangerous
danĝero;danger
danke;thanks *danke (de)
dankema;grateful, thankful *danke (thanks) + ema (inclination to)
danki;to thank *danke (de)
dato;date
daŭrigi;to continue, to proceed *duration
de;by, of *de (fr)
decidi;to decide
decido;decision
defendi;to defend *fendi = crack, defendi = defend
defio;challenge *defy
dek du;twelve *dek = 10, du = 2
dek kvin;fifteen *dek = 10, kvin = 5
dek;ten *deca
deklari;to declare
deklivo;slope *decline
delikata;delicate
demandi;to ask, to inquire *demander (fr)
demando;question *demander (fr)
denaska;native *de (from) + nasko (birth) + a
denove;again, newly
dento;tooth *dent (fr)
dependi;to depend
desegni;to draw *dessiner (fr)
detalo;detail
detektivo;detective
determini;to determine
detrui;to destroy *détruire (fr)
devo;duty
devus;should *devoir (fr)
dezajno;design, a design
dezerto;desert
deziri;to wish, desire
deziro;desire
diable;damn
diablo;devil *diable (fr)
diferenco;difference
dika;fat, thick
dimanĉo;sunday *dimanche (fr)
dio;god *dieu (fr)
direkti;to direct
direkto;direction
diri;to say *dire (fr)
diskuti;to argue, to discuss
diskuto;discussion
dispremi;to crush *dis (separation prefix) + premi (press)
distanco;distance
disvastiĝi;to spread
disvolvi;to develop *dis (separation prefix) + volvi (coil)
diveni;to guess *deviner (fr)
diversa;various, diverse, miscellaneous
dividi;to divide
do;therefore *donc *fr
doktoro;doctor
dolaro;dollar
dolĉa;sweet *douce (fr)
dolori;to ache *dolor
doloro;pain *dolor
dometo;cottage *domo (house) + et (diminishing suffix)
domo;house
donaco;gift
doni;to give, to grant *donner (fr)
dormanta;asleep *dormant
dormi;to sleep *dormer (fr)
dormoĉambro;bedroom *dormi (sleep) + ĉambro (room)
dosiero;file *dossier
drato;wire *thread
drivi;to drift
drogo;drug
du;two
dua;second
dubo;doubt, a doubt *dubious
dudek;twenty *du = 2, dek = 10
dufoje;twice
dum;during, throughout, while
dungi;to hire *dungarees
duobla;double
duono, duona;half *du (2) + ono (fraction)
duŝo;shower *douche (fr)
ebenaĵo;plain
ebeno;plane
ebla;possible
eble;maybe, perhaps, possibly
eblo;possibility
ebria;drunk *inebriated
eĉ;even
edukado;education *eduki (educate) + ado (duration)
edzino;wife *edzo = husband
edzo;husband
efiko;effect
egala;equal
ekde;since
ekestiĝi;to arise
ekkrii;to exclaim, call out *ek (beginning of) + krii (cry)
ekpreni;to grab
ekrano;screen *écran (fr)
eksciti;to excite
ekscito;excitement
ekstere;off, outside *extinguish
eksteren;out, outside *external
eksterlanda, fremda;foreign
ekstra;extra
ekstreme;extremely
ekvilibro;balance, equilibrium
ekzameni;to examine
ekzemplo;example *exemple (fr)
ekzerco;exercise
ekzisti;to exist
ekzisto;existence
el;from
elĉerpi;to exhaust *el (from) + ĉerpi (draw, like blood)
eldiri;to utter *el (from) + diri (say)
elekti;to choose, to pick *elect
elekto;choice *elect
elemento;element
eliri;to emerge
elmontri;to expose
elspezi;to spend *el (from) + spezo (turnover) + i
emocio;emotion
en;in, into
ene;within, inwards *en = in
energio;energy
enfokusigi;to focus
engaĝiĝi;to engage
enhavi;to contain
enhavo;content *enhavo = content, kontento = satisfaction
eniri;to enter
eniro;entrance
enkonduki;to introduce
enorme;enormously
enprofundigi;to sink *en (in) + profunda (deep) + igi (cause to be)
enterigi;to bury *en (in) + tero (earth) + igi (cause to be)
eraro;mistake, error
eskapi;to escape
esperi;to hope *espoir (fr)
esprimi;to express
esprimo;expression *esprimo = expression, espero = hope
establi;to establish
esti;being, to be *être (fr)
estimi;to appreciate
estonteco;future *estonta (future participle of esti) + eco (quality)
estraro;board *estro (leader) + aro (collection)
estro;chief, leader
eta;tiny
etaĝo;storey, floor
etendiĝi;to extend
eterne;forever, eternally
eŭropo;europe
evento;event
evidenta;obvious, evident *evidence
evidente;obviously *evidentially
eviti;to avoid, to evade
fabelo;tale *fable
facila;easy *facile (fr)
facile;easily *facila (easy) + e
faciligi;to ease *facila (easy) + igi (cause to be), 'facilitate'
fajfi;to whistle
fajro;fire
fako;department, compartment *?faction
fakte;actually, indeed *fakto = fact
fakto;fact
faldi;to fold
fali;to fall
faligi;to drop
falsa;false
fama;famous
familio;family
fantazio;fantasy, a fantasy
fantomo;ghost *phantom
fari;to commit, to do, to make *faire (fr)
fariĝi;to become
favori;to favor, to favour
feliĉa;happy
feliĉo;happiness
femuro;thigh *femur
fendi;to crack, to split *fendi = crack, defendi = defend. fendre (fr)
fenestro;window *fenêtre (fr)
fermi;to close, to shut *fermer (fr)
fero;iron *ferric
festo;party *festival
fidi;to trust
fido;faith
fiera;proud *fier (fr)
fiero;pride *fier (fr)
figuro;figure
fikcio;fiction
fiksi;to fix, to set
filino;daughter *filo (son) + in + o
filmo;film
filo;son *fils (fr), 'my SON likes FILO pastry'
fina;final
fine;finally
fingro;finger
fini;to finish
finita;over, finished
fino;end
firmao;firm
firme;firmly
fiŝo;fish
fizika;physical
flamo;flame
flanken;aside *flank
flanko;side *flank
flari;to smell *'flari la florojn' = smell the flowers
flava;yellow
flegistino;nurse
fleksi;to bend, to flex
floro;flower *floral
flosi;to float
flugi;to fly *flugi = fly, flui = flow
flugilo;wing *flugi (fly) + ilo (tool)
flugo;flight
flui;to flow *flugi = fly, flui = flow
flustri;to whisper
foje;sometimes
folio;sheet, leaf
fono;background *fono = background, fonto = source, telefono = telephone
fonto;source, fountain *fono = background, fonto = source, telefono = telephone
for;away *deftones 'drive FOR awaaaaay'
foresto;absence
forgesi;to forget
forigi;to remove, to get rid of *for (away) + igi (cause to be)
foriri;to depart, to leave
forlasi;to abandon, forsake, desert, leave, quit
formo;blanket, form, shape
forta;strong *fort (fr)
forte;hard, strongly *fort (fr)
forto;force, strength *fort (fr)
fortuno;fortune
forvelki;to fade
fosi;to dig *fossil
fotilo;camera *foto + ilo (tool)
foto;photograph, photo
frakasi;to crash, to shatter, to smash *fracture
franca;french
francio;france
frapi;to strike, to hit, to knock
fratino;sister *frato (brother) + in
frato;brother *fraternal
fraŭlino;miss
frazo;phrase, sentence
fremdulo;stranger, outsider *fremda (strange) + ulo (person)
freneza;crazy, mad *frenzy
freŝa;fresh
fronto;front
frostiĝi;to freeze *frost
froti;to rub, to scrub *frotter (fr)
frue;early, early (adverb) *früh (de)
frukto;fruit
frunto;brow, forehead
fulmi;to flash
fumo;smoke *fumer (fr)
fundo;bottom *fundo = bottom, funto = pound
funebro;funeral
funto;pound *pfund (de), fundo = bottom, funto = pound
furoraĵo;rage *fury
fusilo;rifle *fusil (fr)
gajni;to earn, to gain, to win *gagner (fr)
gambo;leg, lower leg *jambe (leg)
ĝardeno;garden, yard
gardisto;guard
gasto;guest
geedzeco;marriage
geedziĝi;to marry
geedziĝo;wedding
gejo;gay
ĝemi;to groan
generacio;generation
ĝenerala;general
ĝeni;to bother, to disturb, to trouble *gêner (fr), GENuinely Irritate
genui;to kneel *genuo = knee
genuo;knee *genou (fr)
germana;german
gesto;gesture
ĝi;it
ĝia;its *ĝi + a
giganta;giant
ĝis;till, until
glacio;ice *glacier
glaso;glass
glasojn, glasoj;glasses *glaso = glass
glata;smooth
glavo;sword *sounds like gladiator
gliti;to slide, to slip, to glide
gluti;to swallow *glutton
ĝoja;glad, joyful
ĝojo;delight, joy
gorĝo;throat *gorge (fr)
graco;grace
grado;degree
granda;big, grand, great, large
grandeco;size *granda (big) + eco (quality)
grandega;huge *granda (big) + eg (augmentation) + a
grava;important *grave
greka;greek
grimpi;to climb
griza;gray, grey
grundo;ground
grupo;group
ĝui;to enjoy
ĝusta;correct, right, proper
ĝuste;exactly, right
gusto;taste
gvidi;to guide
halo;hall
haro, haroj;hair
hasti;to hurry, to hasten
haŭto;skin
havi;to have
hejmo;home
helpi;to help
helpo;aid, help
herbo;grass *herb
heroo;hero
heziti;to hesitate
hieraŭ;yesterday *hier (fr)
hinda;indian
hispana;spanish
historio;history
hodiaŭ;today
homo;folk, human
honesta;honest
honoro;honor, honour
honto;shame *honte (fr)
horloĝo;clock
horo;hour, o’clock *horo = hour, hororo = horror
hororo;horror *horo = hour, hororo = horror
hospitalo;hospital
hotelo;hotel
humoro;mood *humour
hundo;dog *hound
iama;former, once, temporary
identigi;to identify
ideo;idea
ie ajn;anywhere
ie;somewhere
iel;somehow
ignori;to ignore
ili;they
ilia;their *ili (they) + a
ilin;them *ili (they) + n (accusative)
imagi;to imagine
imago;imagination *bildo = image, imago = imagination
impliki;to involve *implicate
imposto;rate
impresi;to impress
impreso;impression
indico;evidence *indication
indiki;to indicate
individuo;individual, the individual
infano;child, kid
infero;hell *enfer (fr)
influo;influence
informi;to inform
inkluzivi;to include
ino;female
insisti;to insist
instigi;to encourage, to stir, to urge, instigate
instrui;to teach
instruisto;teacher *instrui (teach) + isto (person)
insulo;island
inteligenta;smart, intelligent
inteligento;intelligence
intenci;to intend
intenco;intention, intent
inter;among, between
interesa;interesting
intereso;interest *no 'T' like in french
interkonsento;deal, agreement
interne;inside, internally
interrompi;to interrupt
interŝanĝi;to exchange *inter (between) + ŝanĝi (change)
intervjuo;interview
inundo;flood, inundation *inondation (fr)
inviti;to invite
io;something *io is SOMETHING that orbits jupiter
iom;bit, somewhat
iomete;slightly *iom = bit + et (diminished) + e (adverb)
ion ajn;anything
iri;to go
iu ajn;any, anybody, anyone
iu;somebody, someone *U is person
iuj;some
jako;jacket
jam;already *you don't need more JAM if your toast ALREADY has it on
jarcento;century *jaro (year) + cento (100)
jaro;year
jes;yes
ĵeti;to cast, to fling, to throw, to toss *jeter (fr)
juĝisto;judge
juĝo;judgment, trial *judge
julio;july
juna;young
juneco;youth *juna (young) + eco (quality)
junio;june
jupo;skirt *jupe (fr)
ĵuri;to swear *jury
ĵurnalo;newspaper *journal
justa;fair, just
justeco;justice
kabano;cabin *cabana
kadro;frame *cadre (fr)
kafo;coffee
kaj;and
kaleŝo;carriage *calèche (fr)
kalkano;heel *calcaneus
kalkuli;to count, to calculate
kamiono;truck, lorry
kampo;field *champ (fr)
kandelo;candle
kanti;to sing *canto
kanto;song *canto
kapabla;able, capable
kapitano;captain
kapjesi;to nod *kapo (head) + jesi (to yes)
kapo;head *ĉapo = cap, kapo = head
kapti;to capture, to catch, to seize
kaptilo;trap *kapti (capture) + ilo (tool)
kara;dear
karaktero;character
kariero;career
karno;flesh *carnivore
karto;card
karulo;darling *kara (dear) + ulo (person)
kaŝi;to conceal, to hide *cacher (fr)
kastelo;castle
kato;cat
kaŭzi;to cause
kavaliro;knight *cavalier
kaverno;cave, cavern
kazo;case
kial;why
kialo;reason *kial = why
kiam;when *A.M. is time of day
kie;where *wherE ends in E
kiel;as, how
kies;whose
kio ajn;whatever
kio;what
kirurgio;surgery *kirurgo (surgeon) + io (science)
kisi;to kiss
kiu;which, who *U denotes person
kiun;whom *kiu (who) + n (accusative)
klaki;to snap
klara;clear
klare;clearly *klara (clear) + e
klarigo;explanation, clarification *klara (clear) + ig (cause to be) + o
klaso;class
klini;to bow, to lean
klubo;club
knabino;girl *knabo (boy) + in + o
knabo;boy
kokso;hip *?coccyx
kolegio;college
kolekti;to collect, to gather
kolera;angry
kolero;anger
kolo;neck
koloro;color, colour
komando;command
komenci;to begin, to start
komenco;beginning, start
komenti;comment
komerco;business, trade
komforta;comfortable
komforto;comfort
kompanio;company
kompari;to compare
kompato;pity, compassion *kompaso = compass, kompato = compassion
kompleta;complete
komploto;plot
kompreneble;of course, understandably
kompreni;to understand
kompreno;understanding
komputilo;computer
komuna;common
komunikaĵo;statement
komunumo;community *komuna (common) + um (non specific) + o 
konata;known, familiar *contact
kondiĉo;condition
konduki;to conduct, to lead
konekti;to connect
konekto;connection
konfesi;to confess
konfido;confidence
konfirmi;to confirm
konfuzi;to confuse
konfuzo;confusion
kongruas;match *congruent
konkludi;to conclude
konscia;aware, conscious
konscio;consciousness
konsenti;to agree, to consent
konsideri;to consider
konsidero;reflection, consideration
konsileto;tip *konsilo (advice) + et (diminished) + o
konsilo;advice *counsel
konstruaĵo;building *konstrui (to build) + aĵo (substance)
konstrui;to build *constuire (fr)
kontakto;contact
kontentigi;to satisfy 
kontento;satisfaction *enhavo = content, kontento = satisfaction
konto;account
kontraŭ;against *contrast
kontraŭe;opposite, on the contrary, contrarily *contrast
kontroli;to check *kontroli = check, regi = control, this is a false friend
kontrolo;control
konversacio;conversation
konvinki;to convince
koridoro;corridor
koro;heart *cœur (fr)
korpo;body *corps (fr)
kortumo;court
kosto;cost
kovri;to cover
krampi;to cling, clamp
kredi;to believe *krei = create, kredi = believe, krii = shout
kredito;credit
kredo;belief *creed
krei;to create *krei = create, kredi = believe, krii = shout
kreski;to grow
krevi;to burst
kriegi;to yell, to shriek, to scream, to cry out
krii;to shout, to call out, to cry *krei = create, kredi = believe, krii = shout
krimo;crime
krimulo;criminal *krimo (crime) + ulo (person)
kristano;christian
kristnasko;christmas *kristo (christ) + nasko (birth)
kristo;christ
krom se;unless
krom;besides, except
krono;crown
kubuto;elbow *cubit
kuglo;bullet *Kugel (de)
kuirejo;kitchen *kuiri (cook) + ejo (place)
kuiri;to cook *cuire (fr)
kulpa;guilty *culpable
kulpigi;to blame *culpable
kulpo;fault *culpable
kulturo;culture
kun;with
kune;along, together
kunhavigi;to share
kunsendi;to attach *kun (with) + sendi (send)
kunsento;sympathy
kunulo;companion
kunveno;meeting *convene
kupli;to clutch, to couple
kuraĝa;brave, courageous *kuraĝo (courage) + a
kuraĝo;courage
kurbo;curve
kuri;to run, to rush *courir (fr)
kurteno;curtain
kuseno;pillow, cushion
kuŝi;to lie, recline
kutima;usual *kutimo = custom
kutime;usually
kutimo;custom, habit
kuzo;cousin *kiso = kiss, kuzo = cousin
kvadrato;square *quadrat
kvalito;quality
kvankam;although
kvanto;quantity, amount
kvar;four
kvardek;forty *kvar (4) + dek (10)
kvarono;quarter *kvar (4) + ono (fraction)
kviete;quietly
kvin;five *quint
kvindek;fifty *kvin (5) + dek (10)
la;the *la (fr)
labori;to work *labour
laboristo;worker *labori (work) + isto (person)
laboro;job, work *labour
laciĝi;to tire
lago;lake
lakto;milk *lactose
lampo;lamp
lando;country *land
lango;tongue *langue (fr)
larĝa;broad, wide *large
larmo;tear
lasi;to let
lasta;last
lastatempe;recently, lately *lasta (last) + tempo (time) + e
laŭdo;praise *laud
laŭte;loud, loudly
lavi;to wash *laver (fr). lavi = wash, levi = lift
leciono;lesson
ledo, leda;leather
leĝa;legal
leĝere;lightly
legi;to read *legi = read, ligi = link
leĝo;law
lernejo;school *lerni (learn) + ejo (place)
lerni;to learn
lertaĵo;trick
lerteco;skill
letero;letter
levi;to lift, to raise *lavi = wash, levi = lift
leviĝi;to rise
li mem;himself
li;he
lia;his, sin *li (he) + a
libera;free *liberty
libereco;freedom, liberty *libera (free) + eco (quality)
liberigi;to release *libera (free) + igi (cause to be)
libro;book
ligi;to tie *legi = read, ligi = link
ligilo;link *ligi (tie) + ilo (tool)
ligita;bound
ligna;wooden
ligno;wood
limo;border, limit *limit
lin;him
lingvo;language
linio;line
lipo;lip
listo;list
literatura;literary
literumi;spell
lito;bed, sofa
liveri;to deliver
loka;local
loko;place, spot *location
londono;london
longa;long
longo;length
ludi;to play
ludkartaro;deck, deck of cards
ludo;game *LUDO is a GAME
lukti;to struggle
lumo;light *luminous
lunĉo;lunch
luno;moon *lune (moon)
magio;magic
majoro;major
majstro;master *maestro
makzelo;jaw *maxilla
malalta;low
malami;to hate
malamiko;enemy
malantaŭe;behind
malantaŭo;rear, back *mal (opposite) + antaŭo (front)
malaperi;to disappear, to vanish
malbela;ugly
malbeni;to curse
malbona;bad
malbone;badly
malbono;evil, badness
maldekstre;left
maldika;thin
malespero;despair
malfacila;difficult
malfacilaĵo;difficulty
malfermi;to open
malfermo;opening
malforta;faint, weak
malfrue;late *lastatempe = lately
malglata;rough
malĝoja;sad
malĝojo;grief, sorrow
malgranda fingro;pinky, little finger
malgranda;little, small
malgrava;irrelevant, not serious, unimportant
malĝusta;wrong
malhelpi;to hinder, to counteract *mal + helpi (help)
malkovri;to discover, to uncover
mallarĝa;narrow
mallarĝe;closely
mallaŭte;softly, quietly
malliberejo;prison *mal + libera (free) + ejo (place)
malliberulo;prisoner
mallonga;short
malluma;dark *mal + luma (light)
mallumo;darkness
malmultaj;few
malnova;old
malplena;empty
malpli;least, less *mal (opposite) + pli (more)
malproksima;distant
malproksime;far
malpura;dirty
malpuraĵo;dirt *mal (opposite) + pura (pure) + aĵo (made from)
malrapida;slow
malrapide;slowly
malriĉa;poor *mal + riĉa (rich)
malsama;different
malsana;ill, sick
malsata;hungry *mal (opposite) + sata (satiated)
malŝpari;to waste *mal + ŝpari (to save)
malstreĉiĝi;to relax *mal (opposite) + streĉi (strech) + iĝi (become)
malsukcesi;to fail
malsupre;beneath, below *mal + supre (above)
malsupren;down *mal + supren (up)
malsupreniri;to descend *malsupren (down) + iri (go)
maltrankvila;anxious *mal + trankvila (calm)
malvarma;cold
malvarmeta;cool *malvarm (cold) + et (diminished) + a
malvirto;vice *mal + vitro (virtue)
manĝi;to eat
manĝo;food, meal
manĝoĉambro;dining room *manĝo (food) + ĉambro (room)
maniero;manner
manipuli;to handle, to manipulate
manko;lack, shortage *manquer (fr) = to lack
mano;hand *main (fr)
mantelo;coat *manteau (fr)
mapo;map
marki;to mark
maro;sea *mer (fr)
marŝi;to march, to walk *marcher (fr)
marŝu;march
maŝino;machine
maso;mass
matenmanĝo;breakfast *mateno (morning) + manĝo (food)
mateno;morning *matin (fr)
materialo;material
mejlo;mile
membro;member
memori;to remember
memorigi;to remind *memori (remember) + igi (cause to be)
memoro;memory
mencii;to mention
mensa;mental *menso = mind
menso;mind
mentono;chin *menton (fr)
merdo;shit *merde (fr)
meriti;to deserve, to merit
merkato;market *compare the merkat
mesaĝo;message
metalo;metal
meti;to lay, to put
metodo;method
mezo;middle, the middle
mezuri;measure
mi mem;myself
mi;i, me
mia;mine, my *mi + a
mil;thousand *mille (fr)
milda;gentle, mild
milde;gently, mildly *milda + e
miliono;million
milito;war
minaci;to threaten
minaco;threat *menace
ministro;minister
minuto;minute
mirinda;wonderful
misio;mission
mistero;mystery
modelo;model
moderna;modern
modo;fashion *mode (fr)
mola;soft, gentle
momento;moment
monato;month
mondo;world *monde (world)
mono;money
monteto;hill *monto (mountain) + et (diminished) + o
monto;mountain
montri;to show *montrer (fr)
monujo;purse
moralo;moral
mordi;to bite *mordi = bite, morti = die
morgaŭ;tomorrow
morta;dead
morti;to die *mordi = bite, morti = die
mortigi;to kill *morta (dead) + igi (cause to be)
morto;death
motoro;engine *motor
movado;movement *movi (move) + ad (continuous) + o
movi;to move
moviĝo;motion
muĝi;to roar
multaj;many *multaj = many, multe = much
multe;lot, much *multaj = many, multe = much
munti;to mount
murdo;murder
murmuri;to murmur, to mutter
muro;wall *mural
muskolo;muscle
muziko;music
nacio;nation
naĝejo;pool *naĝi (swim) + ejo (place)
naĝi;to swim
najbarino;neighbor, neighbour
najlo;nail
naskiĝo;birth *naski (to give birth) + iĝi (to become) + o
natura;natural
nature;naturally *natura (natural) + e
naturo;nature
naŭ;nine
nazo;nose
ne;no, not
necesa;necessary
neebla;impossible *ne (not) + ebla (possible)
neĝo;snow *neige (fr)
nei;to deny
nek;neither, nor
nekapabla;unable, incapable
nekonata;unknown
nekutima;unusual
neniam;never
nenio;nothing
neniu;nobody, none
nepara;odd *ne (negate) + para (even)
nepra;due, essential, necessary
nervo;nerve
nervoza;nervous
neŝanĝiĝema;steady
ni mem;ourselves
ni;us, we *nous (fr)
nia;our *ni + a
nigra;black
nivelo;level
nobla;noble
nocio;notion
nokto;night
nombrilo;counter *nombro (number) + ilo (tool)
nombro;number
nomo;name *nom (fr)
norde;north
normala;normal
normo;norm, standard
noto;note
nova;new
novaĵoj;news
nubo;cloud
nuda;bare, naked, nude
nun;now
nuna;current
nur;just, only
nutri;to feed *nutrition
objekto;object
observi;to observe
obtuza;dull, blunt, obtuse
oceano;ocean
odoro;scent, odour
ofero;sacrifice *ofero = sacrifice, oferto = offer
oficejo;office
oficiala;official
oficiro;officer
oficisto;clerk
ofte;often
ok;eight *octa
okazi;to happen, to occur
okazo;occasion
okcidento;west
okulo;eye *ocular
okupi;to occupy
okupita;busy *occupied
ol;than *ol = than, oleo = oil
oleo;oil *ol = than, oleo = oil
ombro;shade, shadow *ombre (fr)
ondo;wave *onde (fr)
onklino;aunt *onklo (uncle) + in (female) + o
onklo;uncle *oncle (fr)
opinio;opinion
ora;golden, gold *oro (gold) + a
ordinara;ordinary
ordo;order
orelo;ear *oreille (fr)
oriente, oriento;east *oriental
originalo;original
oro;gold *or (fr)
osto;bone *osteocyte
ovo;egg
paciento;patient, hospital patient
paĉjo;dad *paĉjo = dad, pasio = passion
paco;peace *paco = peace ritmo = pace
pado;path
pafi;to shoot
pafilo;gun, pistol *pafi (shoot) + ilo (tool)
pafo;shot *pafi = to shoot
pagi;to afford, to pay
paĝo;page
paki;to pack
pala;pale
palaco;palace
palmo;palm
pano;bread *pain (fr)
papero;paper
pardoni;to forgive, to pardon
pardono;excuse *pardon
parizo;paris
parko;park
paro;couple, pair
parolado;speech *paroli (speak) + ado (duration)
paroli;to speak, to talk *parler (fr)
partnero;partner
parto;part
pasaĝero;passenger
pasi;to pass
pasinta;past *the pasta in the packet is PASINTA its used by date
pasio;passion *pasio = passion paŝo = step
paŝo;step *pasio = passion paŝo = step
pastro;priest, pastor
patrino;mother *patro (father) + in (female) + o
patro;father, parent
paŭzi;to pause
peco;piece, bit, chunk *peco = piece, pezo = weight
pendi;to hang *pendre (fr) pendi = hang, perdi = lose, 'PENDING'
peno;effort
pensi;to think *penser (fr)
pensis;thought *pensi (think) + is
pentraĵo;painting *pentri (paint) + aĵo (made from)
pentri;to paint
percepti;to perceive
perdi;to lose *predre (fr) pendi = hang, perdi = lose
